question,word
700000001,Roach
700000002,Missouri
700000003,Jaworski
700000004,Tisza
700000005,bombs
700000006,Tobruk
700000007,90
700000008,children
700000009,ritual
700000010,Dutch
700000011,zoo
700000012,smallpox
700000013,innumerable
700000014,Fielding
700000015,conversation
700000016,Vinteuil
700000017,church
700000018,tuberculosis
700000019,seventeen
700000020,peach
700000021,Simon
700000022,red
700000023,compound
700000024,Ivan
700000025,Heinrich
700000026,spin
700000027,prime
700000028,furnace
700000029,Langar
700000030,Macaw
700000031,killed
700000032,Popper
700000033,repugnant
700000034,execution
700000035,school
700000036,drug
700000037,Aphrodite
700000038,Thin
700000039,Piketty
700000040,guards
700000041,giri
700000042,Make
700000043,Drakensberg
700000044,Ta
700000045,Hudson
