id,answer,sent,text
193816,Argentina,0,In 2012 a ship from this country was impounded off the coast of Ghana after creditors sued over a debt restructuring plan.
193816,Argentina,1,A May 2017 ruling reduced the prison sentences of hundreds of human rights violators convicted of torture crimes from a 1970s dictatorship in this South American country.
193816,Argentina,2,Former president Cristina Kirchner was succeeded by Mauricio Macri in--for 10 points--what home country of Pope Francis?
193817,Chinese_remainder_theorem,0,Using this theorem speeds up the RSA encryption algorithm by about a factor of 4.
193817,Chinese_remainder_theorem,1,"All the moduli must be pairwise relatively prime to use this theorem, which is often combined with Euclid's algorithm."
193817,Chinese_remainder_theorem,2,This theorem is often explained in terms of soldiers left over when splitting a regiment into different-sized groups.
193817,Chinese_remainder_theorem,3,"For 10 points--identify this theorem for solving systems of modular congruences, named after a country."
193818,Rudyard_Kipling,0,"In a story by this man, King Solomon--annoyed by the quarreling of his wives--encounters quarreling butterflies."
193818,Rudyard_Kipling,1,"This author of ""The Butterfly that Stamped"" wrote a novel whose protagonist helps a lama search for the River of the Arrow."
193818,Rudyard_Kipling,2,That protagonist learns espionage from the jeweler Lurgan Sahib in a novel that this author set during the Great Game.
193818,Rudyard_Kipling,3,For 10 points--what author wrote Kim and the Just So Stories?
193819,Samuel_Taylor_Coleridge,0,"This man described a link to God as ""the one life within us and abroad"" in a conversation poem."
193819,Samuel_Taylor_Coleridge,1,"He described a man who watched ""water-snakes"" and ""blessed them unaware"" in a poem whose listener became a ""sadder and a wiser man"" when ""he rose the morrow morn."""
193819,Samuel_Taylor_Coleridge,2,"This author of ""The Eolian Harp"" created a character who tells a ""Wedding-Guest"" about killing an albatross."
193819,Samuel_Taylor_Coleridge,3,For 10 points--name this author of The Rime of the Ancient Mariner.
193820,Benjamin_Britten,0,"At the start of an operetta by this composer, four trees see the moon turn blue, indicating the birth of a mythical lumberjack."
193820,Benjamin_Britten,1,This composer of Paul Bunyan wrote about a governess at the haunted Bly House in The Turn of the Screw.
193820,Benjamin_Britten,2,"In another opera by this composer, the title fisherman is suspected of killing an apprentice."
193820,Benjamin_Britten,3,For 10 points--name this 20th-century English composer of Peter Grimes.
193821,Norway,0,"The president of this country's parliament, Olemic Thommessen [oh-leh-""mick"" ""thomas""-sen], was criticized in 2014 for not meeting the Dalai Lama."
193821,Norway,1,U.S.
193821,Norway,2,Ambassador George Tsunis was criticized for not knowing that the Progress Party was in this country's ruling coalition.
193821,Norway,3,"Its Workers' Youth League has a camp on the island of Utoya at which, in 2011, Anders Behring Breivik committed mass murder."
193821,Norway,4,For 10 points--name this country west of Sweden.
