id,answer,sent,text
54,Les_Fleurs_du_mal,0,"A poem in this collection claims that the real need of the speaker’s heart is for Lady Macbeth and opens ""It will never be the beauties that vignettes show."""
54,Les_Fleurs_du_mal,1,"Another poem in this collection contrasts how large the world is by lamplight versus how small it is ""in the eyes of memory."""
54,Les_Fleurs_du_mal,2,Its introduction describes how (*) Ennui’s eye is brimming with spontaneous tears and is addressed to the hypocrite reader.
54,Les_Fleurs_du_mal,3,"It includes ""The Voyage"" and ""The Ideal,"" the latter of which it contrasts with the spleen."
54,Les_Fleurs_du_mal,4,"For 10 points, name this collection by Charles Baudelaire."
4,Bimetallism,0,"A speech given in support of this policy claims that, if cities are burned down, they will be rebuilt so long as farms are not burned as well."
4,Bimetallism,1,This policy was the primary goal of an offshoot of the Republican Party founded by Henry Teller.
4,Bimetallism,2,Proponents of this policy dubbed an act that outlawed it the (*) ‘Crime of ‘73.’
4,Bimetallism,3,"An advocate of this policy lost the elections of 1896 and 1900, and that man, William Jennings Bryan, argued for it by claiming that farmers were being crucified on a ‘Cross of Gold.’ For 10 points, name this policy of using silver and gold to mint currency."
29,Shang_dynasty,0,A ruler of this dynasty was frightened by the sight of a chicken standing on a ceremonial vessel and was named Wu Ding.
29,Shang_dynasty,1,"A god worshipped by and partially sharing a name with this dynasty has a name translating as ""Lord on High."""
29,Shang_dynasty,2,Debate exists over whether the (*) Xia Dynasty preceded it.
29,Shang_dynasty,3,"This dynasty’s final capital was at Anyang, where discovered artifacts such as ox scapulae and turtle shells provide evidence of divination using oracle bones."
29,Shang_dynasty,4,"For 10 points, name this dynasty that preceded the Zhou, the first concretely proven to rule China."
127,IS–LM_model,0,An extension of this framework concludes that a government cannot maintain a fixed exchange rate and autonomous monetary policy if money is allowed to cross borders.
127,IS–LM_model,1,That extension of this framework is the Mundell-Fleming Model.
127,IS–LM_model,2,"Within it, two axes represent real GDP and the real interest rate."
127,IS–LM_model,3,"Also called the (*) Hicks-Hansen model, it can illustrate changes in national income as well as changes in aggregate demand."
127,IS–LM_model,4,"For 10 points, name this economic model whose two intersecting curves represent savings and the money supply."
80,Newton_(surname),0,The British ornithologist who wrote the first book titled A Dictionary of Birds had this surname.
80,Newton_(surname),1,A scientist with this surname calculated the force needed to maintain a revolving object
80,Newton_(surname),2,"’s trajectory while increasing its speed in his theorem of revolving orbits, and he also names a method for approximating (*) roots of a function by repeated calculations."
80,Newton_(surname),3,That scientist with this surname claimed that every action has an equal and opposite reaction in his Third Law of Motion.
80,Newton_(surname),4,"For 10 points, give this surname of the British formulator of the theory of gravity, Sir Isaac."
85,SQL,0,A contemporary variety of this programming language is sometimes called Postgres.
85,SQL,1,Initializing in this language is often accomplished using the COMMIT and ROLLBACK commands.
85,SQL,2,Three-valued logic was introduced into this language via the NULL keyword.
85,SQL,3,"Data in this language can be identified by using the (*) JOIN and FROM clauses, and its main purpose is accomplished with the SELECT command."
85,SQL,4,"For 10 points, name this programming language that is used to look up information in databases, and that usually goes by a three-letter name."
67,Athol_Fugard,0,"A character created by this author recalls a time when he had to paint white, yellow, and green lines, and then had to paint the words ""Eye Protection Area,"" in preparation for a visit from Henry Ford."
67,Athol_Fugard,1,"In a play by this writer, a man steals a (*) work pass book from a corpse and assumes his identity."
67,Athol_Fugard,2,"He wrote a drama in which two servants practice ballroom dancing, and reminisce about a time they flew a kite with their master."
67,Athol_Fugard,3,"For 10 points, name this author of Sizwe Banzi is Dead and Master Harold... and the Boys, a South African playwright."
129,Bobo_doll_experiment,0,W.G. Cumberbatch argued that the effect of novelty was not accurately screened out during this study.
129,Bobo_doll_experiment,1,A follow up to it tested whether its results were consisted with vicarious reinforcement.
129,Bobo_doll_experiment,2,A secondary finding of this study was that males are more likely to (*) imitate same-sex models than females.
129,Bobo_doll_experiment,3,"Testing its formulator’s social learning theory, its first stage involved children observing adults displaying violent behavior towards an inflatable object."
129,Bobo_doll_experiment,4,"For 10 points, name this study by Alfred Bandura."
20,Frederick_the_Great,0,"This monarch agreed to give his vote for Holy Roman Emperor to Francis, the Duke of Lorraine, via the terms of the Treaty of Dresden."
20,Frederick_the_Great,1,"He ordered the construction of the Sanssouci Palace, where he often separated himself from his wife, (*) Elisabeth Christine."
20,Frederick_the_Great,2,"This king won the Battle of Mollwitz, after which he was able to seize Silesia from Austria."
20,Frederick_the_Great,3,"During the Seven Years’ War, his country was saved by Elizabeth of Russia’s death in the Miracle of the House of Brandenburg."
20,Frederick_the_Great,4,"For 10 points, name this ""great"" ruler of Prussia."
58,Mother_Courage_and_Her_Children,0,"A character in this play has his fortune told by drawing a strip of paper from a helmet, choosing a symbol of death that has a black cross drawn on it."
58,Mother_Courage_and_Her_Children,1,"In this play, a Cook is unmasked as being a man named Peter Piper by a prostitute."
58,Mother_Courage_and_Her_Children,2,"It ends with (*) Kattrin beating a drum and being killed, with the title character having lost all of her offspring and needing to follow a departing regiment to maintain her business."
58,Mother_Courage_and_Her_Children,3,"For 10 points, name this example of epic theater set during the Thirty Years’ War by Bertolt Brecht."
26,Simón_Bolívar,0,"In a speech, this leader claimed that the yokes of ignorance, tyranny, and vice were all equally dangerous, and that people of mixed descent differed from the Romans because they lacked a common background."
26,Simón_Bolívar,1,He proposed a hereditary senate in an address given to the Congress of Angostura.
26,Simón_Bolívar,2,"He advocating killing those who did not support his cause in the (*) Decree of War to the Death, and he won the battles of Carabobo and Boyaca."
26,Simón_Bolívar,3,"For 10 points, name this South American independence fighter nicknamed ""El Libertador."""
69,Don_Quixote,0,"In a book based on this novel, Arabella accepts the proposal of her cousin Glanville after throwing herself into the Thames to escape from some attackers."
69,Don_Quixote,1,"Charlotte Lennox wrote a ""female"" version of this novel."
69,Don_Quixote,2,An attempt to recreate this novel through a line-by-line immersion is undertaken by (*) Pierre Menard in a Jorge Luis Borge short story.
69,Don_Quixote,3,"The title character of this novel is the subject of pranks by the Duke and the Duchess, and imagines a peasant girl to be the legendary Dulcinea."
69,Don_Quixote,4,"For 10 points, name this novel by Miguel de Cervantes."
103,The_Consolation_of_Philosophy,0,"A poem included in this book begins ""Stars concealed / by black clouds / can shed / no light."""
