question,final,page,sentence,word,weight,evidence
120,True," the line, ""I'm the king of the world!"" in the 1997 film ""Titanic.""",0,20,0.64,"{'confidence': 0.6351725751842455, 'final': True}"
120,True," The actor you are referring to is Chevy Chase, and the movie is National Lampoon's Christmas Vacation. The line is ""Geez, Clark, this is a complete and utter disaster. The tree's a fire hazard, the presents are all fucked up, the house is a total shit hole, and your brother-in-law's pissing in the sink. What a rotten fucking Christmas.""",0,39,0.62,"{'confidence': 0.6196933022342017, 'final': True}"
120,True," The actor you are referring to is Chevy Chase, and the film is National Lampoon's Christmas Vacation. The line is ""Geez, Clark, this is a complete and utter disaster. The tree's a fire hazard, the presents are all fucked up, the house is a total shit hole, and your brother-in-law's pissing in the sink. Merry Christmas.""",0,40,0.62,"{'confidence': 0.6151917223790705, 'final': True}"
120,True," The actor you are referring to is Chevy Chase, and the film is National Lampoon's Christmas Vacation.",1,23,0.71,"{'confidence': 0.7086772119459438, 'final': True}"
120,True," The actor you are referring to is John Candy. He played Uncle Lewis in the Christmas film, ""National Lampoon's Christmas Vacation.""",1,42,0.60,"{'confidence': 0.602232790239583, 'final': True}"
120,True," I'm sorry, but I need more information in order to answer your question. Can you please provide more details or context about the film or the actor you are referring to?",1,44,0.70,"{'confidence': 0.7038460965297999, 'final': True}"
120,True, Tom Hanks?,2,16,0.34,"{'confidence': 0.34069287095003603, 'final': True}"
120,True," I believe you are referring to the following actors: 1. John Belushi in ""National Lampoon's Christmas Vacation"" (1989) 2. D.B. Sweeney in ""Memories of Me"" (1988) 3. Bill Murray in ""Kingpin"" (1996) 4. Tom Hanks in ""Philadelphia"" (1993) Can you tell me which question you are referring to so I can provide a more specific answer?",3,18,0.72,"{'confidence': 0.7174731693119829, 'final': True}"
120,True, John C. Reilly.,4,17,0.64,"{'confidence': 0.6393023919748576, 'final': True}"
120,True, Chevy Chase,4,30,0.69,"{'confidence': 0.6887201090002448, 'final': True}"
120,True, Chevy Chase,4,30,0.69,"{'confidence': 0.6887201090002448, 'final': True}"
121,True, the game.,0,18,0.31,"{'confidence': 0.3083066203491053, 'final': True}"
121,True," I'm sorry, but I need more information in order to answer your question. Can you please provide more details or context about the game and the admiral you are referring to?",0,25,0.72,"{'confidence': 0.7171915176283719, 'final': True}"
121,True, was designed by a scientist who was a friend of the player.,1,18,0.38,"{'confidence': 0.378257760433042, 'final': True}"
121,True, the player's chances of winning the game.,1,33,0.40,"{'confidence': 0.397125694874186, 'final': True}"
121,True, I am sorry. I do not know the answer.,1,36,0.66,"{'confidence': 0.655044211428867, 'final': True}"
121,True," a compressor, and then slowed the recording down.",2,16,0.30,"{'confidence': 0.30380744123981696, 'final': True}"
121,True, you.,2,33,0.71,"{'confidence': 0.7124983465845197, 'final': True}"
121,True, I am sorry. I need more information in order to answer your question. Please provide more context or clarify your question and I will do my best to answer it.,2,34,0.70,"{'confidence': 0.7021500970957452, 'final': True}"
121,True," I'm sorry, but I need more information in order to provide a full and complete answer. Can you please provide me with more context or details about the question?",3,19,0.72,"{'confidence': 0.7207042278259321, 'final': True}"
121,True," I'm sorry, but I need more information in order to provide a full and complete answer. Can you please provide more context or specify what you are referring to?",3,27,0.71,"{'confidence': 0.7096355673576489, 'final': True}"
121,True, X-wing,4,15,0.36,"{'confidence': 0.36156108011007915, 'final': True}"
121,True, The TIE Fighter,4,26,0.50,"{'confidence': 0.49745906152871255, 'final': True}"
121,True, The TIE Fighter,4,26,0.50,"{'confidence': 0.49745906152871255, 'final': True}"
122,True, The relationship between the characters is symbolized by the four seasons.,0,16,0.41,"{'confidence': 0.40543554850574004, 'final': True}"
122,True," I'm sorry, but I need more information in order to answer your question. Can you please provide me with the title of the movie you are referring to?",0,21,0.80,"{'confidence': 0.7950695407047086, 'final': True}"
