sentence,final,page,evidence,weight,question,word
0,False,The other operator,"{'confidence': 0.014094225130975246, 'final': False}",0.01,155,18
0,False,The other operator,"{'confidence': 0.015695542097091675, 'final': False}",0.02,155,30
1,False,The other operator,"{'confidence': 0.015773998573422432, 'final': False}",0.02,155,18
1,False,The other operator,"{'confidence': 0.008207200095057487, 'final': False}",0.01,155,27
2,False,The other operator,"{'confidence': 0.008345715701580048, 'final': False}",0.01,155,15
3,False,The other operator,"{'confidence': 0.006116029806435108, 'final': False}",0.01,155,22
3,False,The other operator,"{'confidence': 0.0038007842376828194, 'final': False}",0.00,155,23
3,False,The other operator,"{'confidence': 0.0038007842376828194, 'final': False}",0.00,155,23
0,False,SMS,"{'confidence': 0.08961619436740875, 'final': False}",0.09,156,17
0,False,SMS,"{'confidence': 0.09069479256868362, 'final': False}",0.09,156,21
1,False,SMS,"{'confidence': 0.07762093842029572, 'final': False}",0.08,156,17
1,False,SMS,"{'confidence': 0.05735471472144127, 'final': False}",0.06,156,21
2,False,SMS,"{'confidence': 0.08263342082500458, 'final': False}",0.08,156,17
2,False,SMS,"{'confidence': 0.057732388377189636, 'final': False}",0.06,156,33
3,False,SMS,"{'confidence': 0.03381627798080444, 'final': False}",0.03,156,14
4,False,SMS,"{'confidence': 0.019300203770399094, 'final': False}",0.02,156,17
4,False,SMS,"{'confidence': 0.015022252686321735, 'final': False}",0.02,156,34
4,False,SMS keyword to confirm their appointment,"{'confidence': 0.01604345440864563, 'final': False}",0.02,156,36
5,False,SMS,"{'confidence': 0.008043534122407436, 'final': False}",0.01,156,19
5,False,SMS,"{'confidence': 0.003709712764248252, 'final': False}",0.00,156,30
5,False,SMS,"{'confidence': 0.003709712764248252, 'final': False}",0.00,156,30
0,False,Bonjour tout le monde,"{'confidence': 0.05029445141553879, 'final': False}",0.05,157,14
0,False,</tuv>     </tu,"{'confidence': 0.02106316387653351, 'final': False}",0.02,157,27
1,False,Bonjour tout le monde!,"{'confidence': 0.016758807003498077, 'final': False}",0.02,157,15
1,False,</seg>       </tuv>     </tu,"{'confidence': 0.01322338916361332, 'final': False}",0.01,157,24
2,False,</seg>       </tuv>     </tu,"{'confidence': 0.009067550301551819, 'final': False}",0.01,157,16
2,False,</seg>       </tuv>     </tu,"{'confidence': 0.00548482546582818, 'final': False}",0.01,157,35
2,False,</seg>       </tuv>     </tu,"{'confidence': 0.00548482546582818, 'final': False}",0.01,157,35
3,False,</seg>       </tuv>     </tu,"{'confidence': 0.001336791436187923, 'final': False}",0.00,157,16
3,False,</seg>       </tuv>     </tu,"{'confidence': 0.0003849822096526623, 'final': False}",0.00,157,32
3,False,</seg>       </tuv>     </tu,"{'confidence': 0.00042974052485078573, 'final': False}",0.00,157,37
3,False,</seg>       </tuv>     </tu,"{'confidence': 0.00042974052485078573, 'final': False}",0.00,157,37
0,False,"vehicle only when the owner makes the second attempt,","{'confidence': 0.00852716714143753, 'final': False}",0.01,158,19
0,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.009277885779738426, 'final': False}",0.01,158,35
1,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.006837308406829834, 'final': False}",0.01,158,14
1,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.007039841264486313, 'final': False}",0.01,158,17
2,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.0051688626408576965, 'final': False}",0.01,158,17
2,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.0051089124754071236, 'final': False}",0.01,158,32
3,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.003955752123147249, 'final': False}",0.00,158,17
3,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.003955752123147249, 'final': False}",0.00,158,17
4,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.0019195772474631667, 'final': False}",0.00,158,15
4,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.0018166321096941829, 'final': False}",0.00,158,19
4,False,The recorded first code is forwarded to the vehicle,"{'confidence': 0.0018166321096941829, 'final': False}",0.00,158,19
0,False,other operator,"{'confidence': 0.07492971420288086, 'final': False}",0.07,159,15
0,False,The other operator,"{'confidence': 0.013638308271765709, 'final': False}",0.01,159,25
1,False,operator,"{'confidence': 0.011984903365373611, 'final': False}",0.01,159,11
2,False,The other operator,"{'confidence': 0.007981895469129086, 'final': False}",0.01,159,12
3,False,operator,"{'confidence': 0.00723919365555048, 'final': False}",0.01,159,14
3,False,operator,"{'confidence': 0.00723919365555048, 'final': False}",0.01,159,14
