page,sentence,word,weight,question,evidence,final
 artists. Which two artists and which albums are you referring to?,0,18,0.60,160,"{'confidence': 0.5961186708119782, 'final': True}",TRUE
" I'm sorry, but I need more information in order to answer your question. Can you please provide more context or details about the question?",0,21,0.75,160,"{'confidence': 0.7505988271715174, 'final': True}",TRUE
" The painting you are referring to is ""The Banquet of Cleopatra"" by Lucas Cranach the Elder. This painting was used as the album artwork for the albums ""The Stage Names"" by the band Okkervil River and ""Consolers of the Lonely"" by the band The Raconteurs.",1,20,0.71,160,"{'confidence': 0.7058916204375492, 'final': True}",TRUE
" The painting you are referring to is ""The Green Tablecloth"" by artist Mark Rothko. It was used as the album artwork for the albums ""The Green Tablecloth"" by The Green Tablecloth and ""The Green Tablecloth"" by The Green Tablecloth.",1,23,0.66,160,"{'confidence': 0.66389787330499, 'final': True}",TRUE
" The painting is titled ""The Last Supper"" by American artist Mark Ryden.",2,16,0.55,160,"{'confidence': 0.5511463237842843, 'final': True}",TRUE
" The painting you are referring to is ""The Death of Vincent van Gogh"" by David Revoy. It was used as the album artwork for the albums ""The Death of Vincent"" by The Dillinger Escape Plan and ""The Death of Us"" by The Bled.",3,18,0.59,160,"{'confidence': 0.5921517597200835, 'final': True}",TRUE
 The Death of Marat,4,16,0.71,160,"{'confidence': 0.7108321237176649, 'final': True}",TRUE
 The Death of Marat,4,19,0.68,160,"{'confidence': 0.6810592867613988, 'final': True}",TRUE
 The Death of Marat,4,19,0.68,160,"{'confidence': 0.6810592867613988, 'final': True}",TRUE
 The artist selected by Eli Broad and David Baltimore to install a zig-zag wall on the Pasadena campus was Mark Bradford.,0,19,0.73,161,"{'confidence': 0.7277977632148719, 'final': True}",TRUE
 The artist is Mark Bradford.,0,29,0.43,161,"{'confidence': 0.4309345390754384, 'final': True}",TRUE
 Norman Steinlauf,1,17,0.54,161,"{'confidence': 0.5363647072968641, 'final': True}",TRUE
 Norman Steinlauf,1,26,0.61,161,"{'confidence': 0.6103364669303093, 'final': True}",TRUE
