final,sentence,evidence,page,question,weight,word
FALSE,0,"{'confidence': 0.0, 'final': False}",Potsdamer Straße to the north and west,140,0.00,19
FALSE,0,"{'confidence': 0.05739878140134627, 'final': False}",Johannesburg,140,0.06,34
FALSE,1,"{'confidence': 0.0, 'final': False}","Today, that ups",140,0.00,17
FALSE,1,"{'confidence': 0.0, 'final': False}",Naples,140,0.00,20
FALSE,2,"{'confidence': 0.0, 'final': False}","Wellington, New Zealand",140,0.00,18
FALSE,2,"{'confidence': 0.01164516247837992, 'final': False}","Wellington, New Zealand",140,0.01,18
TRUE,3,"{'confidence': 1.0, 'final': True}","Wellington, New Zealand",140,1.00,18
FALSE,4,"{'confidence': 0.0, 'final': False}",Law,140,0.00,18
TRUE,4,"{'confidence': 0.9723586929163328, 'final': True}","Wellington, New Zealand",140,0.97,22
TRUE,5,"{'confidence': 1.0, 'final': True}","Wellington, New Zealand",140,1.00,9
TRUE,5,"{'confidence': 1.0, 'final': True}","Wellington, New Zealand",140,1.00,9
FALSE,0,"{'confidence': 0.0, 'final': False}",Shanghai,141,0.00,17
FALSE,0,"{'confidence': 0.1589377278787854, 'final': False}",Shanghai,141,0.16,24
FALSE,1,"{'confidence': 0.0, 'final': False}",Shanghai,141,0.00,19
TRUE,1,"{'confidence': 0.6615549439527126, 'final': True}",Shanghai,141,0.66,32
TRUE,2,"{'confidence': 0.5215895883920967, 'final': True}",Shanghai,141,0.52,20
FALSE,2,"{'confidence': 0.04595080283892253, 'final': False}",Shanghai French Concession had two Russian Orth,141,0.05,28
FALSE,3,"{'confidence': 0.0, 'final': False}","Shanghai French Concession, Russian Orthodox",141,0.00,21
FALSE,3,"{'confidence': 0.0, 'final': False}",Shanghai French Concession had two Russian Orth,141,0.00,27
TRUE,4,"{'confidence': 1.0, 'final': True}",Shanghai,141,1.00,12
TRUE,4,"{'confidence': 1.0, 'final': True}",Shanghai,141,1.00,12
TRUE,0,"{'confidence': 1.0, 'final': True}",Oregon,142,1.00,15
FALSE,1,"{'confidence': 0.0, 'final': False}",Oregon,142,0.00,18
TRUE,1,"{'confidence': 0.27678842119084196, 'final': True}",Oregon,142,0.28,31
TRUE,2,"{'confidence': 0.27517813167339883, 'final': True}",Oregon,142,0.28,15
FALSE,3,"{'confidence': 0.06671120528628063, 'final': False}",Oregon,142,0.07,19
TRUE,3,"{'confidence': 1.0, 'final': True}",California,142,1.00,26
TRUE,3,"{'confidence': 1.0, 'final': True}",California,142,1.00,26
TRUE,0,"{'confidence': 1.0, 'final': True}",Colorado,143,1.00,21
TRUE,1,"{'confidence': 1.0, 'final': True}",Colorado,143,1.00,17
TRUE,2,"{'confidence': 1.0, 'final': True}",Colorado,143,1.00,21
TRUE,2,"{'confidence': 1.0, 'final': True}",Colorado,143,1.00,26
TRUE,3,"{'confidence': 0.5272027794743263, 'final': True}",Colorado,143,0.53,15
TRUE,3,"{'confidence': 0.5272027794743263, 'final': True}",Colorado,143,0.53,15
TRUE,0,"{'confidence': 1.0, 'final': True}",Duever et al. estimated that 70,144,1.00,19
TRUE,0,"{'confidence': 1.0, 'final': True}",Duever et al. estimated that 70,144,1.00,19
TRUE,1,"{'confidence': 0.47134238864717254, 'final': True}",Sandra Neil Wallace's book credits,144,0.47,18
TRUE,1,"{'confidence': 0.7349579017499553, 'final': True}",Sandra Neil Wallace's book credits,144,0.73,18
FALSE,2,"{'confidence': 0.0, 'final': False}",Sandra Neil Wal,144,0.00,17
FALSE,2,"{'confidence': 0.0, 'final': False}",no answer,144,0.00,23
FALSE,3,"{'confidence': 0.0, 'final': False}",Sandra Neil Wal,144,0.00,15
FALSE,3,"{'confidence': 0.0, 'final': False}","Florida Everglades, Marjory Ston",144,0.00,25
FALSE,4,"{'confidence': 0.0, 'final': False}",no answer,144,0.00,17
FALSE,4,"{'confidence': 0.0, 'final': False}",no answer,144,0.00,23
FALSE,5,"{'confidence': 0.0, 'final': False}",Sandra Neil Wal,144,0.00,17
FALSE,5,"{'confidence': 0.0, 'final': False}",Sandra,144,0.00,28
TRUE,6,"{'confidence': 0.4077524356879752, 'final': True}",Everglades,144,0.41,19
TRUE,6,"{'confidence': 0.708362708904921, 'final': True}",Everglades,144,0.71,22
TRUE,6,"{'confidence': 0.708362708904921, 'final': True}",Everglades,144,0.71,22
