page,sentence,final,question,word,weight,evidence
Philadelphia 76ers in the Boston Garden,0,FALSE,105,21,0.00,"{'confidence': 0.0, 'final': False}"
Madison Square Garden,0,TRUE,105,24,1.00,"{'confidence': 1.0, 'final': True}"
Championship in,1,FALSE,105,21,0.00,"{'confidence': 0.0, 'final': False}"
Pat Riley,1,TRUE,105,25,0.27,"{'confidence': 0.2727239704716042, 'final': True}"
1,2,FALSE,105,20,0.00,"{'confidence': 0.0, 'final': False}"
Larry Bird,2,FALSE,105,26,0.06,"{'confidence': 0.05985326974767874, 'final': False}"
Don Nelson,3,FALSE,105,17,0.00,"{'confidence': 0.0, 'final': False}"
Larry Bird,3,TRUE,105,19,0.31,"{'confidence': 0.31447806634516245, 'final': True}"
Larry Bird,3,TRUE,105,19,0.31,"{'confidence': 0.31447806634516245, 'final': True}"
Philadelphia Athletics (Red Brick Bank),0,FALSE,106,17,0.00,"{'confidence': 0.0, 'final': False}"
"Philadelphia Athletics (originally known as the ""A",0,FALSE,106,27,0.00,"{'confidence': 0.0, 'final': False}"
Philadelphia Warriors,1,FALSE,106,15,0.21,"{'confidence': 0.21168854915051277, 'final': False}"
Philadelphia Warriors,1,TRUE,106,20,0.63,"{'confidence': 0.6347238154440563, 'final': True}"
no answer,2,FALSE,106,18,0.00,"{'confidence': 0.0, 'final': False}"
Philadelphia Warriors,2,TRUE,106,19,0.31,"{'confidence': 0.3061914354635243, 'final': True}"
Philadelphia Warriors,3,TRUE,106,18,0.33,"{'confidence': 0.3273806684722886, 'final': True}"
Baltimore Bullets,4,FALSE,106,13,0.07,"{'confidence': 0.07130689702650533, 'final': False}"
Baltimore Bullets,4,FALSE,106,13,0.07,"{'confidence': 0.07130689702650533, 'final': False}"
"David Ortiz, heading into Game 4 of",0,FALSE,107,19,0.00,"{'confidence': 0.0, 'final': False}"
"David Ortiz (Red Sox) said,",0,FALSE,107,26,0.00,"{'confidence': 0.0, 'final': False}"
"Shane Victorino, 2010",1,FALSE,107,15,0.00,"{'confidence': 0.0, 'final': False}"
"LeBron James, 2015",1,FALSE,107,29,0.00,"{'confidence': 0.0, 'final': False}"
Kevin Garnett',2,FALSE,107,19,0.00,"{'confidence': 0.0, 'final': False}"
"Shane Victorino, 2004",2,FALSE,107,22,0.00,"{'confidence': 0.0, 'final': False}"
2022,3,TRUE,107,19,0.58,"{'confidence': 0.5802216529120964, 'final': True}"
2022,3,TRUE,107,22,1.00,"{'confidence': 1.0, 'final': True}"
2022,3,TRUE,107,22,1.00,"{'confidence': 1.0, 'final': True}"
"The common nickname is ""nick.""",0,FALSE,108,4,0.00,"{'confidence': 0.0, 'final': False}"
Mahomes,1,FALSE,108,18,0.00,"{'confidence': 0.0, 'final': False}"
MVP (Most Valuable Player),1,FALSE,108,21,0.00,"{'confidence': 0.0, 'final': False}"
Kawhi and Luka,2,FALSE,108,18,0.00,"{'confidence': 0.0, 'final': False}"
Luka Dončić and Ben Simmons,2,FALSE,108,26,0.00,"{'confidence': 0.0, 'final': False}"
"Bogdanovic, Dončić",3,FALSE,108,8,0.00,"{'confidence': 0.0, 'final': False}"
Nikola Jokić and Luka Donč,4,FALSE,108,11,0.00,"{'confidence': 0.0, 'final': False}"
Toni and Kuzma,5,FALSE,108,18,0.00,"{'confidence': 0.0, 'final': False}"
Big O and Mr. Fizzy,5,FALSE,108,26,0.00,"{'confidence': 0.0, 'final': False}"
Big O and Mr. Fizzy,5,FALSE,108,26,0.00,"{'confidence': 0.0, 'final': False}"
no answer,0,FALSE,109,19,0.00,"{'confidence': 0.0, 'final': False}"
Moses Malone,0,TRUE,109,31,0.59,"{'confidence': 0.5897296151020501, 'final': True}"
Moses Malone,1,FALSE,109,17,0.01,"{'confidence': 0.006061267689836981, 'final': False}"
Moses Malone,1,FALSE,109,31,0.04,"{'confidence': 0.03715527938511434, 'final': False}"
D,2,FALSE,109,23,0.00,"{'confidence': 0.0, 'final': False}"
Hakeem Olajuwon,2,TRUE,109,25,0.31,"{'confidence': 0.305695301716937, 'final': True}"
Hakeem Olajuwon,3,TRUE,109,18,1.00,"{'confidence': 1.0, 'final': True}"
Hakeem Olajuwon,3,TRUE,109,29,0.98,"{'confidence': 0.9757505562830036, 'final': True}"
Hakeem Olajuwon,3,TRUE,109,29,0.98,"{'confidence': 0.9757505562830036, 'final': True}"
