sentence,page,evidence,question,final,weight,word
0,List of music videos,"{'confidence': -0.0813486843075, 'final': False}",155,False,-0.08,8
0,List of songs with five-letter titles,"{'confidence': -0.2944071112428572, 'final': False}",155,False,-0.29,15
0,List of songs with five-letter titles,"{'confidence': -0.2646393896285714, 'final': False}",155,False,-0.26,18
0,List of songs with five-letter titles,"{'confidence': -0.15876129850999998, 'final': False}",155,False,-0.16,26
0,Laces,"{'confidence': -0.612409713, 'final': False}",155,False,-0.61,30
1,Rubber Band,"{'confidence': -0.22154983641399997, 'final': False}",155,False,-0.22,7
1,"""D.A.N.C.E.""","{'confidence': -0.10883544097121667, 'final': False}",155,False,-0.11,13
1,"""D.A.N.C.E.""","{'confidence': -0.04191977547244, 'final': False}",155,False,-0.04,18
1,"""Laces""","{'confidence': -0.08497673133333333, 'final': False}",155,False,-0.08,25
1,"""Laces""","{'confidence': -0.07537113993333333, 'final': False}",155,False,-0.08,27
2,"""Laces""","{'confidence': -0.46744336766666666, 'final': False}",155,False,-0.47,7
2,Laces (song),"{'confidence': -0.1354504228, 'final': False}",155,False,-0.14,14
2,"""Laces""","{'confidence': -0.14826889881000002, 'final': False}",155,False,-0.15,15
3,"""Laces""","{'confidence': -0.21233805535666664, 'final': False}",155,False,-0.21,8
3,S.I.M.P. (Squirrels In My Pants),"{'confidence': -0.026876095641220767, 'final': False}",155,False,-0.03,15
3,Aglet,"{'confidence': -8.5112996466e-05, 'final': True}",155,True,-0.00,23
3,Aglet,"{'confidence': -8.5112996466e-05, 'final': True}",155,True,-0.00,23
0,Campbell's Soup Company,"{'confidence': -0.01275571553508, 'final': False}",156,False,-0.01,7
0,Swatch,"{'confidence': -0.07066771937, 'final': False}",156,False,-0.07,11
0,Delta Air Lines,"{'confidence': -0.26792686022121665, 'final': False}",156,False,-0.27,17
0,Omega SA,"{'confidence': -5.58017475e-06, 'final': True}",156,True,-0.00,21
1,Omega SA,"{'confidence': -0.00051134305, 'final': True}",156,True,-0.00,7
1,Omega SA,"{'confidence': -7.6858465e-05, 'final': True}",156,True,-0.00,12
1,Omega SA,"{'confidence': -0.004248049056325, 'final': False}",156,False,-0.00,18
1,Omega SA,"{'confidence': -0.0026323944081649998, 'final': True}",156,True,-0.00,21
2,Omega SA,"{'confidence': -0.2309793, 'final': False}",156,False,-0.23,6
2,Omega SA,"{'confidence': -0.04697788, 'final': False}",156,False,-0.05,11
2,Omega SA,"{'confidence': -0.005075392, 'final': False}",156,False,-0.01,18
2,Omega SA,"{'confidence': -0.033258248, 'final': False}",156,False,-0.03,25
2,Swatch,"{'confidence': -0.25760424924110004, 'final': False}",156,False,-0.26,33
2,Omega SA,"{'confidence': -0.014456052408164999, 'final': False}",156,False,-0.01,33
