evidence,final,page,question,sentence,weight,word
"{'confidence': -2.935296915e-06, 'final': False}",False,Sydney,140,0,-0.00,7
"{'confidence': -3.1901789099999995e-05, 'final': True}",True,Rio de Janeiro,140,0,-0.00,13
"{'confidence': -0.0027656237313325, 'final': True}",True,Bogotá,140,0,-0.00,21
"{'confidence': -0.0179709256015, 'final': False}",False,Bogotá,140,0,-0.02,28
"{'confidence': -0.084420443114825, 'final': False}",False,Bogotá,140,0,-0.08,34
"{'confidence': -0.056259182681060005, 'final': False}",False,Bogotá,140,1,-0.06,5
"{'confidence': -0.0010301978, 'final': True}",True,Baltimore,140,1,-0.00,10
"{'confidence': -0.000895396885, 'final': True}",True,Baltimore,140,1,-0.00,18
"{'confidence': -0.00066911235, 'final': True}",True,Baltimore,140,1,-0.00,20
"{'confidence': -0.39046964755033337, 'final': False}",False,Cape Town,140,2,-0.39,8
"{'confidence': -0.080928315788, 'final': False}",False,"Wellington, New Zealand",140,2,-0.08,13
"{'confidence': -0.0018343694560460002, 'final': True}",True,"Wellington, New Zealand",140,2,-0.00,18
"{'confidence': -0.000425363667386, 'final': True}",True,"Wellington, New Zealand",140,2,-0.00,18
"{'confidence': -0.013759423092780002, 'final': False}",False,"Wellington, New Zealand",140,3,-0.01,8
"{'confidence': -0.008062434855919998, 'final': False}",False,"Wellington, New Zealand",140,3,-0.01,13
"{'confidence': -3.71012065e-06, 'final': True}",True,"Wellington, New Zealand",140,3,-0.00,18
"{'confidence': -4.4253425e-06, 'final': True}",True,"Wellington, New Zealand",140,4,-0.00,6
"{'confidence': -3.650519e-06, 'final': True}",True,"Wellington, New Zealand",140,4,-0.00,12
"{'confidence': -0.0051257524630800005, 'final': False}",False,"Wellington, New Zealand",140,4,-0.01,19
"{'confidence': -1.2664457e-06, 'final': True}",True,"Wellington, New Zealand",140,4,-0.00,22
"{'confidence': -0.0008168625904000001, 'final': True}",True,"Wellington, New Zealand",140,5,-0.00,7
"{'confidence': -0.08551372531913001, 'final': False}",False,"Wellington, New Zealand",140,5,-0.09,9
"{'confidence': -3.173704175e-06, 'final': True}",True,"Wellington, New Zealand",140,5,-0.00,9
"{'confidence': -0.00032283671, 'final': False}",False,Shanghai,141,0,-0.00,7
"{'confidence': -0.0151127603103, 'final': False}",False,Shanghai,141,0,-0.02,12
"{'confidence': -0.00107286965, 'final': True}",True,Shanghai,141,0,-0.00,18
"{'confidence': -7.7193671825e-05, 'final': True}",True,Shanghai,141,0,-0.00,24
"{'confidence': -2.284230732e-05, 'final': True}",True,Shanghai,141,0,-0.00,24
"{'confidence': -6.6306104e-06, 'final': True}",True,Shanghai,141,1,-0.00,7
"{'confidence': -5.3193701e-06, 'final': True}",True,Shanghai,141,1,-0.00,14
"{'confidence': -3.5909169499999997e-06, 'final': True}",True,Shanghai,141,1,-0.00,20
"{'confidence': -7.882249000000001e-06, 'final': True}",True,Shanghai,141,1,-0.00,25
"{'confidence': -2.2484698499999998e-05, 'final': True}",True,Shanghai,141,1,-0.00,31
"{'confidence': -5.7961848e-06, 'final': True}",True,Shanghai,141,1,-0.00,32
"{'confidence': -1.24715898e-05, 'final': True}",True,Shanghai,141,2,-0.00,6
