question,final,evidence,weight,word,page,sentence
110,False,"{'confidence': -0.219384354, 'final': False}",-0.22,7,Bacteria,0
110,False,"{'confidence': -0.30040251980000005, 'final': False}",-0.30,12,Bird migration,0
110,False,"{'confidence': -0.012121724200000001, 'final': False}",-0.01,18,Octopus,0
110,False,"{'confidence': -0.5608650616916666, 'final': False}",-0.56,8,Animal locomotion,1
110,False,"{'confidence': -0.269825565, 'final': False}",-0.27,14,Tardigrade,1
110,False,"{'confidence': -0.178353272805, 'final': False}",-0.18,20,Amphibian,1
110,False,"{'confidence': -0.213896960533, 'final': False}",-0.21,24,Amphibian,1
110,False,"{'confidence': -0.015755522306927998, 'final': False}",-0.02,7,Cephalopod,2
110,False,"{'confidence': -0.0228887158, 'final': False}",-0.02,10,Cephalopod,2
110,True,"{'confidence': -6.263314285e-05, 'final': True}",-0.00,17,Echinodermata,2
110,True,"{'confidence': -1.43602456625e-05, 'final': True}",-0.00,24,Echinodermata,2
110,True,"{'confidence': -3.24014995e-07, 'final': True}",-0.00,7,Echinodermata,3
110,True,"{'confidence': -1.862090825e-07, 'final': True}",-0.00,6,Echinodermata,4
110,True,"{'confidence': -8.120283125e-07, 'final': True}",-0.00,11,Echinodermata,4
110,True,"{'confidence': -5.32621395e-07, 'final': True}",-0.00,14,Echinodermata,4
110,True,"{'confidence': -5.32621395e-07, 'final': True}",-0.00,14,Echinodermata,4
111,False,"{'confidence': -0.00035743050832500004, 'final': False}",-0.00,7,Niels Henrik Abel,0
111,False,"{'confidence': -0.0526445425, 'final': False}",-0.05,9,Niels Henrik Abel,0
111,False,"{'confidence': -0.017644645148475, 'final': False}",-0.02,6,Sophie Germain,1
111,False,"{'confidence': -0.1352767534635875, 'final': False}",-0.14,13,Sophie Germain,1
111,False,"{'confidence': -0.07769818084472999, 'final': False}",-0.08,19,Pierre de Fermat,1
111,True,"{'confidence': -0.0011967511466, 'final': True}",-0.00,20,Pierre de Fermat,1
