evidence,word,question,page,final,sentence,weight
"{'confidence': -0.024543823408165, 'final': False}",9,105,Magic Johnson,False,0,-0.02
"{'confidence': -0.30384575, 'final': False}",16,105,Magic Johnson,False,0,-0.30
"{'confidence': -0.28997493640816496, 'final': False}",22,105,Larry Bird,False,0,-0.29
"{'confidence': -0.054531279806324995, 'final': False}",24,105,Larry Bird,False,0,-0.05
"{'confidence': -0.042464709019200006, 'final': False}",10,105,Larry Bird,False,1,-0.04
"{'confidence': -0.00518794171365, 'final': False}",15,105,Magic Johnson,False,1,-0.01
"{'confidence': -0.2600894335825, 'final': False}",22,105,Larry Bird,False,1,-0.26
"{'confidence': -1.92065975e-05, 'final': True}",25,105,Larry Bird,True,1,-0.00
"{'confidence': -0.27675512561182497, 'final': False}",7,105,Jerry Sloan,False,2,-0.28
"{'confidence': -2.123305975e-05, 'final': True}",14,105,Larry Bird,True,2,-0.00
"{'confidence': -1.56408165e-07, 'final': True}",21,105,Larry Bird,True,2,-0.00
"{'confidence': -9.6806325e-08, 'final': True}",25,105,Larry Bird,True,2,-0.00
"{'confidence': -9.6806325e-08, 'final': True}",26,105,Larry Bird,True,2,-0.00
"{'confidence': 0.0, 'final': True}",7,105,Larry Bird,True,3,0.00
"{'confidence': -9.6806325e-08, 'final': True}",12,105,Larry Bird,True,3,-0.00
"{'confidence': -9.6806325e-08, 'final': True}",19,105,Larry Bird,True,3,-0.00
"{'confidence': -9.6806325e-08, 'final': True}",19,105,Larry Bird,True,3,-0.00
"{'confidence': -0.3047115889345, 'final': False}",6,106,Seattle Storm,False,0,-0.30
"{'confidence': -0.009440160843499999, 'final': False}",13,106,Seattle Storm,False,0,-0.01
"{'confidence': -6.194111e-05, 'final': True}",19,106,Seattle,True,0,-0.00
"{'confidence': -0.13403736469773334, 'final': False}",26,106,Seattle Reign (basketball),False,0,-0.13
"{'confidence': -0.30595933433333333, 'final': False}",27,106,Seattle Reign FC,False,0,-0.31
"{'confidence': -0.06827489394333333, 'final': False}",5,106,Chicago Stags,False,1,-0.07
"{'confidence': -0.06069530899456428, 'final': False}",10,106,Baltimore Bullets,False,1,-0.06
"{'confidence': -0.05392338127713571, 'final': False}",17,106,Baltimore Bullets,False,1,-0.05
"{'confidence': -0.00086306532055, 'final': True}",20,106,Providence Steamrollers,True,1,-0.00
"{'confidence': -1.830516675e-05, 'final': True}",6,106,Providence Steamrollers,True,2,-0.00
"{'confidence': -2.570282375e-06, 'final': True}",12,106,Providence Steamrollers,True,2,-0.00
"{'confidence': -0.12803319089166668, 'final': False}",18,106,Chicago Stags,False,2,-0.13
"{'confidence': -0.22363097403106666, 'final': False}",19,106,Chicago Stags,False,2,-0.22
"{'confidence': -0.039206206582333335, 'final': False}",7,106,Chicago Stags,False,3,-0.04
"{'confidence': -0.17045450459653333, 'final': False}",14,106,Chicago Stags,False,3,-0.17
"{'confidence': -0.05100427305875, 'final': False}",18,106,Baltimore Bullets,False,3,-0.05
"{'confidence': -0.00917590366147857, 'final': False}",6,106,Baltimore Bullets,False,4,-0.01
"{'confidence': -0.006222774977857142, 'final': False}",10,106,Baltimore Bullets,False,4,-0.01
"{'confidence': -0.033481708273185716, 'final': False}",13,106,Baltimore Bullets,False,4,-0.03
"{'confidence': -0.033481708273185716, 'final': False}",13,106,Baltimore Bullets,False,4,-0.03
"{'confidence': -0.0007396835321466667, 'final': False}",7,107,2004 American League Championship Series,False,0,-0.00
"{'confidence': -0.00020821993215833332, 'final': True}",14,107,2004 American League Championship Series,True,0,-0.00
"{'confidence': -0.00207712819955, 'final': True}",20,107,2004 American League Championship Series,True,0,-0.00
"{'confidence': -0.0057475156609383335, 'final': False}",26,107,2004 American League Championship Series,False,0,-0.01
"{'confidence': -0.2877639254, 'final': False}",6,107,2004 NBA Playoffs,False,1,-0.29
"{'confidence': -0.24062333051999998, 'final': False}",10,107,2004 NBA Playoffs,False,1,-0.24
"{'confidence': -0.21808293110326601, 'final': False}",16,107,2007 NBA Playoffs,False,1,-0.22
"{'confidence': -0.10094296489904998, 'final': False}",23,107,2009–10 NBA season,False,1,-0.10
"{'confidence': -0.08874128101999999, 'final': False}",29,107,2010 NBA Playoffs,False,1,-0.09
"{'confidence': -0.05759115718985, 'final': False}",8,107,2020 NBA playoffs,False,2,-0.06
"{'confidence': -0.021224309466212503, 'final': False}",13,107,2020 NBA playoffs,False,2,-0.02
"{'confidence': -0.0105477017495, 'final': False}",20,107,2020 NBA playoffs,False,2,-0.01
"{'confidence': -0.01856143575, 'final': False}",22,107,2020 NBA playoffs,False,2,-0.02
"{'confidence': -0.066654551825, 'final': False}",8,107,2020 NBA playoffs,False,3,-0.07
"{'confidence': -0.0112712553, 'final': False}",14,107,2020 NBA playoffs,False,3,-0.01
"{'confidence': -0.32869523875, 'final': False}",20,107,2020 NBA Finals,False,3,-0.33
"{'confidence': -0.2024064035, 'final': False}",22,107,2020 NBA playoffs,False,3,-0.20
"{'confidence': -0.2024064035, 'final': False}",22,107,2020 NBA playoffs,False,3,-0.20
"{'confidence': -0.002639749, 'final': False}",4,108,Nickname,False,0,-0.00
"{'confidence': -0.25829379262574, 'final': False}",7,108,National Football League regular season,False,1,-0.26
"{'confidence': -0.0354687298155, 'final': False}",12,108,American Idol,False,1,-0.04
"{'confidence': -0.05029287840979444, 'final': False}",19,108,List of National Football League records (individual),False,1,-0.05
"{'confidence': -0.037681393576000005, 'final': False}",21,108,List of National Basketball Association career triple-double leaders,False,1,-0.04
"{'confidence': -0.10910832927966668, 'final': False}",6,108,LeBron James and Russell Westbrook,False,2,-0.11
"{'confidence': -0.0560242264651, 'final': False}",12,108,LeBron James,False,2,-0.06
"{'confidence': -0.10726843694477223, 'final': False}",19,108,List of National Basketball Association career triple-double leaders,False,2,-0.11
"{'confidence': -0.03831041900576428, 'final': False}",25,108,List of nicknames used in basketball,False,2,-0.04
