evidence,sentence,question,word,final,weight,page
"{'confidence': -0.055487680275000006, 'final': False}",0,100,5,False,-0.06,Cricket in Sri Lanka
"{'confidence': -0.12108100101791429, 'final': False}",1,100,8,False,-0.12,Canada men's national ice hockey team
"{'confidence': -0.004221938375575, 'final': False}",1,100,14,False,-0.00,Miracle on Ice
"{'confidence': -0.12181915395771624, 'final': False}",1,100,21,False,-0.12,1980 Winter Olympics men's ice hockey
"{'confidence': -0.0349820812736125, 'final': False}",1,100,22,False,-0.03,Miracle on Ice
"{'confidence': -0.117331918964763, 'final': False}",2,100,8,False,-0.12,1980 United States men's Olympic ice hockey team
"{'confidence': -0.04623004885533462, 'final': False}",2,100,14,False,-0.05,Ice hockey at the 1980 Winter Olympics – Men's tournament
"{'confidence': -0.0207736469360875, 'final': False}",2,100,17,False,-0.02,Miracle on Ice
"{'confidence': -0.04086576235338076, 'final': False}",3,100,8,False,-0.04,Ice hockey at the 1980 Winter Olympics – Men's tournament
"{'confidence': -0.0341118433206, 'final': False}",3,100,13,False,-0.03,Ice Hockey at the 1980 Winter Olympics – Men's team rosters
"{'confidence': -0.05866594124273334, 'final': False}",3,100,20,False,-0.06,Ice hockey at the 1980 Winter Olympics – Men's team rosters
"{'confidence': -0.05322251513164444, 'final': False}",3,100,26,False,-0.05,Ice hockey at the 1980 Winter Olympics
"{'confidence': -0.062133234673065384, 'final': False}",3,100,26,False,-0.06,Ice hockey at the 1980 Winter Olympics – Men's tournament
"{'confidence': -0.024752793193058332, 'final': False}",4,100,7,False,-0.02,Finland
"{'confidence': -0.0695296724310375, 'final': False}",4,100,14,False,-0.07,Finland men's national ice hockey team
"{'confidence': -0.00541162513220625, 'final': False}",4,100,20,False,-0.01,Finland men's national ice hockey team
"{'confidence': -0.00434287808766, 'final': False}",4,100,23,False,-0.00,Finland men's national ice hockey team
"{'confidence': -0.00434287808766, 'final': False}",4,100,23,False,-0.00,Finland men's national ice hockey team
"{'confidence': -0.005192953675533333, 'final': False}",0,101,6,False,-0.01,Minor League Baseball
"{'confidence': -0.07117343018433332, 'final': False}",0,101,12,False,-0.07,Baltimore Orioles minor league players
"{'confidence': -0.0364967378065, 'final': False}",0,101,13,False,-0.04,Baltimore Orioles minor league players
"{'confidence': -0.010585491351066666, 'final': False}",1,101,6,False,-0.01,Baltimore Orioles minor league players
"{'confidence': -0.008632570632705, 'final': False}",1,101,12,False,-0.01,Baltimore Orioles minor league players
"{'confidence': -0.054103027248899996, 'final': False}",1,101,20,False,-0.05,List of Baltimore Orioles minor league affiliates
"{'confidence': -0.05741003961399999, 'final': False}",1,101,26,False,-0.06,List of Baltimore Orioles minor league affiliates
"{'confidence': -0.04531986231714286, 'final': False}",1,101,32,False,-0.05,List of Baltimore Orioles minor league affiliates
"{'confidence': -0.03985303274245715, 'final': False}",1,101,38,False,-0.04,List of Baltimore Orioles minor league affiliates
"{'confidence': -0.08382429349528572, 'final': False}",1,101,43,False,-0.08,List of Baltimore Orioles minor league affiliates
"{'confidence': -0.15256598612083336, 'final': False}",2,101,6,False,-0.15,List of Minor League Baseball players
"{'confidence': -0.06162620554614285, 'final': False}",2,101,13,False,-0.06,List of Baltimore Orioles minor league affiliates
"{'confidence': -0.10356874538485715, 'final': False}",2,101,18,False,-0.10,List of Baltimore Orioles minor league affiliates
"{'confidence': -0.32197518574733336, 'final': False}",3,101,7,False,-0.32,Ryan Mountcastle
"{'confidence': -0.04954520252766667, 'final': False}",3,101,14,False,-0.05,Ryan Mountcastle
"{'confidence': -0.249265112514, 'final': False}",3,101,15,False,-0.25,Ryan Mountcastle
"{'confidence': -0.249265112514, 'final': False}",3,101,15,False,-0.25,Ryan Mountcastle
"{'confidence': -0.1667231859328, 'final': False}",0,102,7,False,-0.17,Mastermind (TV series)
"{'confidence': -0.12851768782275, 'final': False}",0,102,12,False,-0.13,FIFA World Cup
"{'confidence': -0.0939479943562125, 'final': False}",0,102,18,False,-0.09,Cristiano Ronaldo
"{'confidence': -0.223170951193, 'final': False}",0,102,22,False,-0.22,Cristiano Ronaldo
"{'confidence': -0.25358735662599496, 'final': False}",0,102,29,False,-0.25,Cristiano Ronaldo
"{'confidence': -0.12458437194366667, 'final': False}",0,102,34,False,-0.12,Horse racing
"{'confidence': -0.056542435, 'final': False}",0,102,36,False,-0.06,Cristiano Ronaldo
"{'confidence': -9.0886444325e-05, 'final': True}",1,102,8,True,-0.00,Cristiano Ronaldo
"{'confidence': -0.00110141018525, 'final': True}",1,102,14,True,-0.00,Cristiano Ronaldo
"{'confidence': -0.0022683579625249997, 'final': True}",1,102,20,True,-0.00,Cristiano Ronaldo
"{'confidence': -0.12135896680910001, 'final': False}",1,102,27,False,-0.12,José Mourinho
"{'confidence': -0.07183106006275, 'final': False}",1,102,28,False,-0.07,Josep Guardiola
"{'confidence': -0.10546489992500001, 'final': False}",2,102,10,False,-0.11,Josep Guardiola
"{'confidence': -0.1588711846525, 'final': False}",2,102,15,False,-0.16,Josep Guardiola
"{'confidence': -0.1259993175, 'final': False}",2,102,21,False,-0.13,Pep Guardiola
"{'confidence': -0.1309941386051625, 'final': False}",2,102,26,False,-0.13,Josep Guardiola
"{'confidence': -0.17443035387965, 'final': False}",3,102,7,False,-0.17,Josep Guardiola
"{'confidence': -0.08895986949025, 'final': False}",3,102,13,False,-0.09,Josep Guardiola
"{'confidence': -0.085192459142875, 'final': False}",3,102,20,False,-0.09,Josep Guardiola
"{'confidence': -0.086628270416875, 'final': False}",3,102,26,False,-0.09,Pep Guardiola
"{'confidence': -0.0805587450145875, 'final': False}",3,102,28,False,-0.08,Josep Guardiola
"{'confidence': -0.0009434384666666667, 'final': True}",4,102,6,True,-0.00,José Mourinho
"{'confidence': -0.0004705392042166667, 'final': True}",4,102,11,True,-0.00,José Mourinho
"{'confidence': -9.814077755e-05, 'final': True}",4,102,17,True,-0.00,José Mourinho
"{'confidence': -0.0002494114708833333, 'final': True}",4,102,22,True,-0.00,José Mourinho
"{'confidence': -6.950071333333333e-05, 'final': True}",4,102,23,True,-0.00,José Mourinho
"{'confidence': -6.950071333333333e-05, 'final': True}",4,102,23,True,-0.00,José Mourinho
"{'confidence': -0.79613554, 'final': False}",0,103,8,False,-0.80,Interview
"{'confidence': -0.13147877955213, 'final': False}",0,103,15,False,-0.13,Sport in the United States
"{'confidence': -0.13369719375755001, 'final': False}",0,103,20,False,-0.13,Kobe Bryant
"{'confidence': -0.00014275018953333334, 'final': True}",0,103,26,True,-0.00,Kobe Bryant
"{'confidence': -0.0001785760993333333, 'final': True}",0,103,31,True,-0.00,Kobe Bryant
"{'confidence': -0.00013313076416666668, 'final': True}",1,103,7,True,-0.00,Kobe Bryant
"{'confidence': -0.16282683333333334, 'final': False}",1,103,15,False,-0.16,Roger Federer
"{'confidence': -0.0017086034974479996, 'final': True}",1,103,18,True,-0.00,Novak Djokovic
"{'confidence': -0.00024632921273, 'final': True}",1,103,19,True,-0.00,Novak Djokovic
"{'confidence': -0.0033868140604000002, 'final': False}",2,103,8,False,-0.00,Novak Djokovic
"{'confidence': -0.000632515254528, 'final': True}",2,103,14,True,-0.00,Novak Djokovic
"{'confidence': -0.0008463191612, 'final': True}",2,103,21,True,-0.00,Novak Djokovic
"{'confidence': -0.000109555256396, 'final': True}",2,103,23,True,-0.00,Novak Djokovic
"{'confidence': -1.498382594e-05, 'final': True}",3,103,7,True,-0.00,Novak Djokovic
"{'confidence': -2.372078266e-06, 'final': True}",3,103,13,True,-0.00,Novak Djokovic
"{'confidence': -9.990488785600001e-05, 'final': True}",3,103,18,True,-0.00,Novak Djokovic
"{'confidence': -1.3410337260000001e-05, 'final': True}",3,103,27,True,-0.00,Novak Djokovic
"{'confidence': -1.3410337260000001e-05, 'final': True}",3,103,27,True,-0.00,Novak Djokovic
"{'confidence': -0.00878123076825, 'final': False}",0,104,8,False,-0.01,National Football League playoffs
"{'confidence': -0.14509829996605497, 'final': False}",0,104,16,False,-0.15,2006–07 NFL playoffs
"{'confidence': -5.2841677499999994e-05, 'final': True}",0,104,20,True,-0.00,Peyton Manning
"{'confidence': -5.707995666666667e-05, 'final': True}",0,104,26,True,-0.00,Tony Romo
"{'confidence': -3.426794666666666e-07, 'final': True}",0,104,33,True,-0.00,Tony Romo
"{'confidence': -1.0427211e-07, 'final': True}",1,104,6,True,-0.00,Tony Romo
"{'confidence': 0.0, 'final': True}",1,104,12,True,0.00,Tony Romo
"{'confidence': 0.0, 'final': True}",1,104,17,True,0.00,Tony Romo
"{'confidence': 0.0, 'final': True}",1,104,18,True,0.00,Tony Romo
"{'confidence': 0.0, 'final': True}",2,104,8,True,0.00,Tony Romo
"{'confidence': 0.0, 'final': True}",2,104,13,True,0.00,Tony Romo
"{'confidence': 0.0, 'final': True}",3,104,7,True,0.00,Tony Romo
"{'confidence': -2.8801331666666666e-07, 'final': True}",3,104,12,True,-0.00,Tony Romo
"{'confidence': -2.6321033333333333e-07, 'final': True}",3,104,17,True,-0.00,Tony Romo
"{'confidence': -2.6321033333333333e-07, 'final': True}",3,104,18,True,-0.00,Tony Romo
"{'confidence': -1.8374121666666667e-07, 'final': True}",4,104,6,True,-0.00,Tony Romo
"{'confidence': -3.8241400000000005e-07, 'final': True}",4,104,13,True,-0.00,Tony Romo
"{'confidence': -2.6321033333333333e-07, 'final': True}",4,104,15,True,-0.00,Tony Romo
"{'confidence': -4.221485666666667e-07, 'final': True}",5,104,7,True,-0.00,Tony Romo
"{'confidence': -2.6321033333333333e-07, 'final': True}",5,104,13,True,-0.00,Tony Romo
"{'confidence': -6.453755e-08, 'final': True}",5,104,15,True,-0.00,Tony Romo
"{'confidence': -6.453755e-08, 'final': True}",5,104,15,True,-0.00,Tony Romo
