sentence,question,page,evidence,word,final,weight
0,175,List of U.S. states and territories by population,"{'confidence': -0.032499891674953, 'final': False}",6,False,-0.03
0,175,Maine,"{'confidence': -0.01279317951, 'final': False}",14,False,-0.01
0,175,Maine,"{'confidence': -0.00324012321365, 'final': False}",18,False,-0.00
0,175,Maine,"{'confidence': -0.0110063945, 'final': False}",23,False,-0.01
0,175,Maine,"{'confidence': -5.8864215e-05, 'final': True}",28,True,-0.00
0,175,Maine,"{'confidence': -9.088347e-07, 'final': True}",35,True,-0.00
0,175,Maine,"{'confidence': -7.89631e-07, 'final': True}",41,True,-0.00
0,175,Maine,"{'confidence': -3.3332231325e-05, 'final': True}",44,True,-0.00
0,175,Maine,"{'confidence': -2.0182625e-05, 'final': True}",48,True,-0.00
0,175,Maine,"{'confidence': -1.266445665e-06, 'final': True}",52,True,-0.00
0,175,Maine,"{'confidence': -3.5313154e-06, 'final': True}",60,True,-0.00
0,175,Maine,"{'confidence': -3.7241815e-07, 'final': True}",63,True,-0.00
1,175,Maine,"{'confidence': -9.0883465e-07, 'final': True}",7,True,-0.00
1,175,Maine,"{'confidence': -3.1281632500000003e-07, 'final': True}",13,True,-0.00
1,175,Maine,"{'confidence': -3.1281632500000003e-07, 'final': True}",18,True,-0.00
1,175,Maine,"{'confidence': -6.10825485e-07, 'final': True}",20,True,-0.00
2,175,Maine,"{'confidence': -3.1281632500000003e-07, 'final': True}",7,True,-0.00
2,175,Maine,"{'confidence': -5.51223645e-07, 'final': True}",12,True,-0.00
2,175,Maine,"{'confidence': -7.300291500000001e-07, 'final': True}",18,True,-0.00
2,175,Maine,"{'confidence': -4.3202e-07, 'final': True}",21,True,-0.00
3,175,Maine,"{'confidence': -2.1601e-07, 'final': True}",7,True,-0.00
3,175,Maine,"{'confidence': -3.7241815e-07, 'final': True}",14,True,-0.00
3,175,Maine,"{'confidence': -7.524265e-07, 'final': True}",20,True,-0.00
3,175,Maine,"{'confidence': -1.20684382e-06, 'final': True}",24,True,-0.00
3,175,Maine,"{'confidence': -1.20684382e-06, 'final': True}",24,True,-0.00
0,176,Frankenstein,"{'confidence': -0.03689324782465, 'final': False}",7,False,-0.04
0,176,Frankenstein,"{'confidence': -1.147242025e-06, 'final': True}",12,True,-0.00
0,176,Frankenstein,"{'confidence': -1.0280383e-06, 'final': True}",17,True,-0.00
0,176,Frankenstein,"{'confidence': -8.120283e-07, 'final': True}",23,True,-0.00
0,176,Frankenstein,"{'confidence': -2.57768605e-06, 'final': True}",27,True,-0.00
1,176,Frankenstein,"{'confidence': -1.1398756665e-05, 'final': True}",7,True,-0.00
1,176,Frankenstein,"{'confidence': -5.58017475e-06, 'final': True}",13,True,-0.00
1,176,Frankenstein,"{'confidence': -7.524265e-07, 'final': True}",18,True,-0.00
1,176,Frankenstein,"{'confidence': -9.08834625e-07, 'final': True}",24,True,-0.00
1,176,Frankenstein,"{'confidence': 0.0, 'final': True}",32,True,0.00
