page,weight,word,sentence,question,final,evidence
 the Knicks.,0.46,21,0,105,TRUE,"{'confidence': 0.46112104811026167, 'final': True}"
Michael Jordan made his 1979 NBA debut in Madison Square Garden and scored 14 points against the Houston Rockets.,0.77,24,0,105,TRUE,"{'confidence': 0.7670106611486724, 'final': True}"
Year award in 1988.,0.51,21,1,105,TRUE,"{'confidence': 0.5092085172423829, 'final': True}"
 Michael Jordan,0.54,25,1,105,TRUE,"{'confidence': 0.5409129334493223, 'final': True}"
1998 Eastern Conference Finals to Jordan's Bulls in six games.,0.74,20,2,105,TRUE,"{'confidence': 0.742124237883828, 'final': True}"
 Michael Jordan,0.61,26,2,105,TRUE,"{'confidence': 0.6096861051025209, 'final': True}"
 Larry Bird,0.42,17,3,105,TRUE,"{'confidence': 0.4151567158212244, 'final': True}"
 Larry Bird,0.53,19,3,105,TRUE,"{'confidence': 0.5348100979827853, 'final': True}"
 Larry Bird,0.53,19,3,105,TRUE,"{'confidence': 0.5348100979827853, 'final': True}"
 The Detroit Pistons basketball team got their name from the red brick building that was the tallest structure in Detroit at the time.,0.58,17,0,106,TRUE,"{'confidence': 0.5816926267070814, 'final': True}"
 The Brooklyn Bridge?,0.49,27,0,106,TRUE,"{'confidence': 0.48535704540433744, 'final': True}"
 the NBA.,0.64,15,1,106,TRUE,"{'confidence': 0.6385010263321215, 'final': True}"
"The Hartford Hellcats were a basketball team that played in the American Basketball League (ABL) from 1946 to 1947. They were originally called the Hartford Hurricanes, but changed their name to the Hellcats after the Hartford Courant published an article about the team's poor play and lack of fan support. The team's name was inspired by the red brick building that was the tallest structure in the United States at the time of its completion. The Hellcats won the BAA championship before the league merged to create the NBA.",0.61,20,1,106,TRUE,"{'confidence': 0.6068190055249588, 'final': True}"
"The Hartford Hellcats were a basketball team that played in the American Basketball League (ABL) from 1946 to 1947. They were originally known as the Hartford Hurricanes, but changed their name to the Hellcats after the Red Brick Building in Hartford, Connecticut. The Red Brick Building was the tallest structure in the United States at the time of its completion. The Hellcats won the BAA championship in 1947, but were unable to post a winning season in the NBA.",0.64,18,2,106,TRUE,"{'confidence': 0.6390848164773453, 'final': True}"
The New York Knicks were founded in 1946 and won the BAA championship in 1946.,0.60,19,2,106,TRUE,"{'confidence': 0.5952877480410749, 'final': True}"
