word,final,weight,page,sentence,evidence,question
6,False,-0.00,Giuseppe Verdi,0,"{'confidence': -7.710286999999999e-07, 'final': False}",8
11,False,-0.18,Pontius Pilate,0,"{'confidence': -0.18234879795815, 'final': False}",8
17,False,-0.40,Winston Churchill,0,"{'confidence': -0.4030972121843333, 'final': False}",8
20,False,-0.06,Winston Churchill,0,"{'confidence': -0.060848662716766665, 'final': False}",8
7,False,-0.05,Giuseppe Verdi,1,"{'confidence': -0.04520553421824999, 'final': False}",8
12,True,-0.00,Giuseppe Verdi,1,"{'confidence': -0.001564139804425, 'final': True}",8
18,False,-0.19,Woodrow Wilson,1,"{'confidence': -0.19407497374121666, 'final': False}",8
20,False,-0.19,Woodrow Wilson,1,"{'confidence': -0.18989294267946666, 'final': False}",8
8,False,-0.28,William Jennings Bryan,2,"{'confidence': -0.2774473473333333, 'final': False}",8
13,False,-0.12,William Jennings Bryan,2,"{'confidence': -0.1224351233, 'final': False}",8
18,False,-0.15,William Jennings Bryan,2,"{'confidence': -0.15366838783, 'final': False}",8
21,False,-0.13,William Jennings Bryan,2,"{'confidence': -0.13232247436833333, 'final': False}",8
6,False,-0.23,William Jennings Bryan,3,"{'confidence': -0.23480675961600003, 'final': False}",8
13,True,-0.00,William Jennings Bryan,3,"{'confidence': -8.387973766666667e-05, 'final': True}",8
20,True,-0.00,William Jennings Bryan,3,"{'confidence': -5.015243421666666e-05, 'final': True}",8
6,True,-0.00,William Jennings Bryan,4,"{'confidence': -1.0474991333333334e-05, 'final': True}",8
12,True,-0.00,William Jennings Bryan,4,"{'confidence': -8.045625500000001e-07, 'final': True}",8
15,True,-0.00,William Jennings Bryan,4,"{'confidence': -1.0181669e-06, 'final': True}",8
15,True,-0.00,William Jennings Bryan,4,"{'confidence': -1.0181669e-06, 'final': True}",8
5,False,-0.16,Steamboat,0,"{'confidence': -0.16391533649999998, 'final': False}",9
10,False,-0.06,Mississippi River,0,"{'confidence': -0.055945803387666665, 'final': False}",9
17,False,-0.08,Hudson River,0,"{'confidence': -0.08256370842671666, 'final': False}",9
21,True,-0.00,Lake Champlain,0,"{'confidence': -2.2347576666666666e-07, 'final': True}",9
7,True,-0.00,Lake Champlain,1,"{'confidence': -3.219486033333333e-05, 'final': True}",9
13,True,-0.00,Lake Champlain,1,"{'confidence': -3.6748243000000003e-07, 'final': True}",9
19,True,-0.00,Lake Champlain,1,"{'confidence': -0.0005644380666666667, 'final': True}",9
27,True,-0.00,Lake Champlain,1,"{'confidence': -3.7051850666666665e-06, 'final': True}",9
7,True,-0.00,Lake Champlain,2,"{'confidence': -3.922854266666667e-07, 'final': True}",9
11,True,-0.00,Lake Champlain,2,"{'confidence': -3.6748243333333334e-07, 'final': True}",9
18,True,-0.00,Lake Champlain,2,"{'confidence': -6.853589000000001e-07, 'final': True}",9
7,True,-0.00,Lake Champlain,3,"{'confidence': -9.8830375e-07, 'final': True}",9
14,True,-0.00,Lake Champlain,3,"{'confidence': -2.0854421666666669e-07, 'final': True}",9
