answer,question
William Jennings Bryan,8
Lake Champlain,9
Apache,10
Ida B. Wells,11
Japanese people,12
New York (state),13
Thurgood Marshall,14
"United States presidential election, 1824",15
1920s,16
Spanish Florida,17
Richard Nixon,18
Roanoke Island,19
War in Afghanistan (2001–2021),20
Normandy,21
Canterbury,22
Teutonic Order,23
Kingdom of Hungary,24
House of Medici,25
House of Vasa,26
Cossacks,27
Peninsular War,28
Oil industry,29
Belgium,30
Nikola Tesla,31
Nazi Party,32
Jamaica,33
Peru,34
Uruguay,35
Coffee,36
Mongols,37
Apartheid,38
Kwame Nkrumah,39
Ethiopian Empire,40
Wood,41
Bridge,42
1940s,43
Islam,44
Indus River,45
Ramesses II,46
Japan,47
Greenpeace,48
Lord Byron,49
Baghdad,50
Mexico,51
Ming dynasty,52
Canada,53
Aboriginal Australians,54
Iran,55
