final,question,evidence,page,word,sentence,weight
False,72,"{'confidence': -0.002867650012608, 'final': False}",Francis of Assisi,7,0,-0.00
False,72,"{'confidence': -0.03637672945395, 'final': False}",Prayer,12,0,-0.04
False,72,"{'confidence': -0.185703049190388, 'final': False}",Manasseh (son of Hezekiah),17,0,-0.19
False,72,"{'confidence': -0.6014349, 'final': False}",David,22,0,-0.60
False,72,"{'confidence': -0.015242279000000001, 'final': False}",Saint Patrick,7,1,-0.02
False,72,"{'confidence': -0.102664869, 'final': False}",Saint Eligius,12,1,-0.10
False,72,"{'confidence': -0.0261810585, 'final': False}",Saint Patrick,7,2,-0.03
False,72,"{'confidence': -0.07037273086483332, 'final': False}",Zarathustra,14,2,-0.07
False,72,"{'confidence': -0.003752577938946667, 'final': False}",Zarathustra,19,2,-0.00
True,72,"{'confidence': -0.0019403334946099997, 'final': True}",Zarathustra,23,2,-0.00
True,72,"{'confidence': -0.00205781507455, 'final': True}",Zarathustra,24,2,-0.00
False,72,"{'confidence': -0.014022381173516667, 'final': False}",Zarathustra,8,3,-0.01
False,72,"{'confidence': -0.0058046278958833325, 'final': False}",Zarathustra,13,3,-0.01
False,72,"{'confidence': -0.010147671549766667, 'final': False}",Zarathustra,16,3,-0.01
True,72,"{'confidence': -0.0015871693436666666, 'final': True}",Zarathustra,6,4,-0.00
True,72,"{'confidence': -0.0020036256078833333, 'final': True}",Zarathustra,12,4,-0.00
True,72,"{'confidence': -0.0013818900424333333, 'final': True}",Zarathustra,14,4,-0.00
True,72,"{'confidence': -6.767781666666667e-05, 'final': True}",Zarathustra,7,5,-0.00
True,72,"{'confidence': -0.000343977277, 'final': True}",Zarathustra,13,5,-0.00
False,72,"{'confidence': -0.011486305518466668, 'final': False}",Zarathustra,15,5,-0.01
False,72,"{'confidence': -0.011486305518466668, 'final': False}",Zarathustra,15,5,-0.01
False,73,"{'confidence': -1.8811781e-05, 'final': False}",Suda,6,0,-0.00
False,73,"{'confidence': -0.0065504075, 'final': False}",Suda,11,0,-0.01
False,73,"{'confidence': -0.12464123794488001, 'final': False}",Broteas,17,0,-0.12
True,73,"{'confidence': -0.0014937044461333334, 'final': True}",Daedalus,23,0,-0.00
False,73,"{'confidence': -0.22771031214856666, 'final': False}",Daedalus,24,0,-0.23
False,73,"{'confidence': -0.14071569009576143, 'final': False}",Talus (mythology),6,1,-0.14
True,73,"{'confidence': -0.00174316085175, 'final': True}",Ganymede,12,1,-0.00
False,73,"{'confidence': -0.04235640204088334, 'final': False}",Ganymede (mythology),18,1,-0.04
False,73,"{'confidence': -0.0030782190867699993, 'final': False}",Ganymede (mythology),6,2,-0.00
True,73,"{'confidence': -0.0022641818851388885, 'final': True}",Ganymede (mythology),12,2,-0.00
False,73,"{'confidence': -0.01062388264211111, 'final': False}",Ganymede (mythology),13,2,-0.01
False,73,"{'confidence': -0.0052937447245, 'final': False}",Ganymede (mythology),6,3,-0.01
True,73,"{'confidence': -0.0016392031689600002, 'final': True}",Ganymede (mythology),14,3,-0.00
True,73,"{'confidence': -0.000778337467188889, 'final': True}",Ganymede (mythology),21,3,-0.00
True,73,"{'confidence': -0.0003821693679111111, 'final': True}",Ganymede (mythology),22,3,-0.00
True,73,"{'confidence': -2.044216408333333e-05, 'final': True}",Ganymede (mythology),7,4,-0.00
True,73,"{'confidence': -0.0001908376364111111, 'final': True}",Ganymede (mythology),13,4,-0.00
True,73,"{'confidence': -0.0016000230560033336, 'final': True}",Ganymede (mythology),16,4,-0.00
True,73,"{'confidence': -3.8927495783333335e-05, 'final': True}",Ganymede (mythology),7,5,-0.00
True,73,"{'confidence': -3.956588588888889e-07, 'final': True}",Ganymede (mythology),14,5,-0.00
True,73,"{'confidence': -3.7743681111111113e-07, 'final': True}",Ganymede (mythology),17,5,-0.00
True,73,"{'confidence': -3.7743681111111113e-07, 'final': True}",Ganymede (mythology),17,5,-0.00
False,74,"{'confidence': -0.37476005400943335, 'final': False}",Commentary on the Sentences,7,0,-0.37
False,74,"{'confidence': -0.006049638321873333, 'final': False}",Riemann zeta function,12,0,-0.01
False,74,"{'confidence': -0.35560330935333334, 'final': False}",Arithmetic function,17,0,-0.36
False,74,"{'confidence': -0.1957790023546667, 'final': False}",Arithmetic function,18,0,-0.20
False,74,"{'confidence': -0.23997722149, 'final': False}",Arithmetic progression,5,1,-0.24
False,74,"{'confidence': -0.14498477529999998, 'final': False}",Social commentary,12,1,-0.14
False,74,"{'confidence': -0.31149517665000004, 'final': False}",Social commentary,18,1,-0.31
False,74,"{'confidence': -0.09558933214732497, 'final': False}",Ludwig Wittgenstein,22,1,-0.10
True,74,"{'confidence': -0.0002302470893125, 'final': True}",Philosophical Investigations,7,2,-0.00
True,74,"{'confidence': -1.0162074729999998e-05, 'final': True}",Nicomachean Ethics,14,2,-0.00
False,74,"{'confidence': -0.050013780458600006, 'final': False}",Philosophical Investigations,20,2,-0.05
True,74,"{'confidence': -6.108254924999999e-07, 'final': True}",Philosophical Investigations,25,2,-0.00
True,74,"{'confidence': -5.8102456e-07, 'final': True}",Philosophical Investigations,30,2,-0.00
True,74,"{'confidence': -4.618209075e-07, 'final': True}",Philosophical Investigations,32,2,-0.00
True,74,"{'confidence': -6.704273150000001e-07, 'final': True}",Philosophical Investigations,4,3,-0.00
True,74,"{'confidence': -1.18824155e-06, 'final': True}",Philosophical Investigations,8,3,-0.00
True,74,"{'confidence': -9.386355875e-07, 'final': True}",Philosophical Investigations,11,3,-0.00
True,74,"{'confidence': -1.903463475e-06, 'final': True}",Philosophical Investigations,6,4,-0.00
True,74,"{'confidence': -2.756118325e-07, 'final': True}",Philosophical Investigations,11,4,-0.00
True,74,"{'confidence': -2.756118325e-07, 'final': True}",Philosophical Investigations,11,4,-0.00
False,75,"{'confidence': -0.0437117182655, 'final': False}",Kabyle people,6,0,-0.04
True,75,"{'confidence': -0.0021592127866666665, 'final': True}",Positivism,12,0,-0.00
False,75,"{'confidence': -0.20030680861076666, 'final': False}",Sociologists,17,0,-0.20
False,75,"{'confidence': -0.2579500956133333, 'final': False}",Sociologists,21,0,-0.26
False,75,"{'confidence': -0.16107168000000002, 'final': False}",Mafia,9,1,-0.16
False,75,"{'confidence': -0.0037574236935000002, 'final': False}",Elites,14,1,-0.00
True,75,"{'confidence': -0.0006692179065, 'final': True}",Elites,20,1,-0.00
True,75,"{'confidence': -1.54144765e-05, 'final': True}",Elites,25,1,-0.00
True,75,"{'confidence': -0.000155495813, 'final': True}",Elites,26,1,-0.00
False,75,"{'confidence': -0.00701190994, 'final': False}",Elites,6,2,-0.01
True,75,"{'confidence': -0.0012151572600000002, 'final': True}",Elites,12,2,-0.00
True,75,"{'confidence': -0.0025639154815, 'final': True}",Elites,14,2,-0.00
True,75,"{'confidence': -0.0017013049722, 'final': True}",Elites,8,3,-0.00
True,75,"{'confidence': -0.000113427918165, 'final': True}",Elites,13,3,-0.00
True,75,"{'confidence': -0.00121259986365, 'final': True}",Elites,17,3,-0.00
False,75,"{'confidence': -0.0110538025, 'final': False}",Elites,7,4,-0.01
True,75,"{'confidence': -0.000707833458165, 'final': True}",Elites,15,4,-0.00
False,75,"{'confidence': -0.024040626675, 'final': False}",The Power Elite,21,4,-0.02
False,75,"{'confidence': -0.024040626675, 'final': False}",The Power Elite,21,4,-0.02
False,76,"{'confidence': -4.37949091e-05, 'final': False}",Psychodrama,7,0,-0.00
True,76,"{'confidence': -1.10958128e-05, 'final': True}",Psychodrama,12,0,-0.00
True,76,"{'confidence': -0.0007327562473333333, 'final': True}",Psychodrama,18,0,-0.00
True,76,"{'confidence': -0.0012381387298666666, 'final': True}",Psychodrama,19,0,-0.00
False,76,"{'confidence': -0.012017236574166666, 'final': False}",Psychodrama,7,1,-0.01
True,76,"{'confidence': -0.0025319440575, 'final': True}",Transactional analysis,12,1,-0.00
