sentence,word,weight,final,question,page,evidence
0,6,-0.50,False,79,DNA,"{'confidence': -0.49792412, 'final': False}"
0,12,-0.00,True,79,Telomere,"{'confidence': -0.0006919655794666666, 'final': True}"
0,16,-0.00,True,79,Telomere,"{'confidence': -0.00033272970775, 'final': True}"
1,7,-0.00,True,79,Telomere,"{'confidence': -0.00024399567755000002, 'final': True}"
1,13,-0.00,True,79,Telomere,"{'confidence': -1.1915306050000001e-05, 'final': True}"
1,14,-0.00,True,79,Telomere,"{'confidence': -8.064996944333333e-05, 'final': True}"
2,6,-0.00,True,79,Telomere,"{'confidence': -0.00028906324676666666, 'final': True}"
2,12,-0.00,True,79,Telomere,"{'confidence': -0.00013963866623333332, 'final': True}"
2,14,-0.00,True,79,Telomere,"{'confidence': -7.135330735e-05, 'final': True}"
3,8,-0.00,True,79,Telomere,"{'confidence': -6.153795776666666e-06, 'final': True}"
3,12,-0.00,True,79,Telomere,"{'confidence': -6.551141326666667e-06, 'final': True}"
3,18,-0.00,True,79,Telomere,"{'confidence': -2.1491334316666667e-05, 'final': True}"
3,24,-0.00,True,79,Telomere,"{'confidence': -4.643882993333333e-06, 'final': True}"
3,29,-0.00,True,79,Telomere,"{'confidence': -2.363699922e-05, 'final': True}"
3,35,-0.01,False,79,Telomere,"{'confidence': -0.0051922792721100005, 'final': False}"
3,36,-0.00,True,79,Telomere,"{'confidence': -0.0010576247417666666, 'final': True}"
4,6,-0.00,True,79,Telomere,"{'confidence': -0.0002848017666666667, 'final': True}"
4,12,-0.06,False,79,Telomeres,"{'confidence': -0.05523097, 'final': False}"
4,16,-0.02,False,79,Telomere,"{'confidence': -0.02414023, 'final': False}"
4,16,-0.02,False,79,Telomere,"{'confidence': -0.02414023, 'final': False}"
0,6,-0.06,False,80,Rock (geology),"{'confidence': -0.05700035918586001, 'final': False}"
0,11,-0.87,False,80,DNA,"{'confidence': -0.87045324, 'final': False}"
0,17,-0.31,False,80,Protein structure prediction,"{'confidence': -0.311379655475, 'final': False}"
0,20,-0.00,True,80,DNA,"{'confidence': -5.7888185e-05, 'final': True}"
1,7,-0.00,True,80,DNA,"{'confidence': -0.00072529854, 'final': True}"
1,13,-0.00,True,80,DNA,"{'confidence': -7.362307e-05, 'final': True}"
1,17,-0.17,False,80,DNA,"{'confidence': -0.16950797, 'final': False}"
2,6,-0.00,True,80,DNA,"{'confidence': -0.00083774247, 'final': True}"
2,10,-0.00,True,80,DNA,"{'confidence': -1.342522e-05, 'final': True}"
2,17,-0.00,True,80,DNA,"{'confidence': -7.564953e-05, 'final': True}"
2,19,-0.00,True,80,DNA,"{'confidence': -7.58424e-06, 'final': True}"
3,6,-0.00,True,80,DNA,"{'confidence': -0.000102708764, 'final': True}"
3,11,-0.00,True,80,DNA,"{'confidence': -7.648396e-05, 'final': True}"
3,17,-0.00,True,80,DNA,"{'confidence': -0.00013703208, 'final': True}"
3,23,-0.00,True,80,DNA,"{'confidence': -0.00026741522, 'final': True}"
3,27,-0.00,True,80,DNA,"{'confidence': -0.00012380048, 'final': True}"
4,7,-0.00,True,80,DNA,"{'confidence': -0.00020520923, 'final': True}"
4,12,-0.00,True,80,DNA,"{'confidence': -0.000107238506, 'final': True}"
4,19,-0.00,True,80,DNA,"{'confidence': -8.709308e-05, 'final': True}"
4,20,-0.00,True,80,DNA,"{'confidence': -0.00014442271, 'final': True}"
4,20,-0.00,True,80,DNA,"{'confidence': -0.00014442271, 'final': True}"
0,5,-0.00,False,81,Quorum sensing,"{'confidence': -1.2407052883333333e-05, 'final': False}"
0,12,-0.12,False,81,Quorum sensing,"{'confidence': -0.11845284043333333, 'final': False}"
0,17,-0.00,True,81,Quorum sensing,"{'confidence': -0.0004316298999999999, 'final': True}"
0,21,-0.09,False,81,Population density,"{'confidence': -0.090776144, 'final': False}"
1,5,-0.00,True,81,Population density,"{'confidence': -0.0007037025199999999, 'final': True}"
1,10,-0.00,True,81,Population density,"{'confidence': -0.000133932785, 'final': True}"
1,16,-0.04,False,81,Population density,"{'confidence': -0.04167236125, 'final': False}"
1,20,-0.00,False,81,Population density,"{'confidence': -0.0034281766115, 'final': False}"
1,22,-0.01,False,81,Population density,"{'confidence': -0.0059630615914999996, 'final': False}"
2,7,-0.00,True,81,Population density,"{'confidence': -0.0026749090154999998, 'final': True}"
2,12,-0.00,True,81,Population density,"{'confidence': -0.0005746132375, 'final': True}"
2,15,-0.00,True,81,Population density,"{'confidence': -0.000665461179, 'final': True}"
3,6,-0.00,True,81,Population density,"{'confidence': -0.0026054763375, 'final': True}"
3,11,-0.00,True,81,Population density,"{'confidence': -0.0001121166757, 'final': True}"
3,15,-0.00,True,81,Population density,"{'confidence': -2.0279430000000003e-05, 'final': True}"
4,7,-0.00,True,81,Population density,"{'confidence': -3.5537499999999996e-05, 'final': True}"
4,13,-0.01,False,81,Population density,"{'confidence': -0.007942509700000001, 'final': False}"
4,19,-0.00,True,81,Population density,"{'confidence': -3.541829425e-05, 'final': True}"
4,19,-0.00,True,81,Population density,"{'confidence': -3.541829425e-05, 'final': True}"
0,7,-0.01,False,82,Enzyme,"{'confidence': -0.014567354751216668, 'final': False}"
0,13,-0.01,False,82,Cell wall,"{'confidence': -0.00570912825, 'final': False}"
0,17,-0.03,False,82,Chloroplast,"{'confidence': -0.02997710540788333, 'final': False}"
1,5,-0.01,False,82,Chloroplast,"{'confidence': -0.00918149576005, 'final': False}"
1,12,-0.00,True,82,Ribosome,"{'confidence': -0.0001748627365, 'final': True}"
1,17,-0.00,True,82,Ribosome,"{'confidence': -0.00109078273, 'final': True}"
1,21,-0.00,True,82,Ribosome,"{'confidence': -3.4345461000000005e-05, 'final': True}"
2,8,-0.00,True,82,Ribosome,"{'confidence': -0.00023336608015, 'final': True}"
2,11,-0.00,True,82,Ribosome,"{'confidence': -1.88486125e-06, 'final': True}"
3,6,-0.00,True,82,Ribosome,"{'confidence': -3.1246167850000004e-05, 'final': True}"
3,12,-0.00,True,82,Ribosome,"{'confidence': -1.0266322e-05, 'final': True}"
3,18,-0.00,True,82,Ribosome,"{'confidence': -2.518084025e-06, 'final': True}"
3,20,-0.00,True,82,Ribosome,"{'confidence': -1.445251165e-06, 'final': True}"
4,5,-0.00,True,82,Ribosome,"{'confidence': -1.862464e-06, 'final': True}"
4,11,-0.00,True,82,Ribosome,"{'confidence': -1.5644548e-06, 'final': True}"
4,16,-0.00,True,82,Ribosome,"{'confidence': -1.0280383500000001e-06, 'final': True}"
4,17,-0.00,True,82,Ribosome,"{'confidence': -4.91621815e-07, 'final': True}"
5,6,-0.00,True,82,Ribosome,"{'confidence': -2.6372877e-06, 'final': True}"
5,12,-0.00,True,82,Ribosome,"{'confidence': -1.068353545e-05, 'final': True}"
5,13,-0.00,True,82,Ribosome,"{'confidence': -1.3260475e-06, 'final': True}"
5,13,-0.00,True,82,Ribosome,"{'confidence': -1.3260475e-06, 'final': True}"
0,5,-0.00,False,83,Influenza vaccine,"{'confidence': -0.00021200383499999997, 'final': False}"
0,12,-0.00,True,83,Influenza vaccine,"{'confidence': -0.000800081062, 'final': True}"
0,17,-0.04,False,83,Influenza vaccine,"{'confidence': -0.035938587440999994, 'final': False}"
0,22,-0.23,False,83,Autoantibody,"{'confidence': -0.229205851963, 'final': False}"
0,24,-0.37,False,83,Insulin,"{'confidence': -0.3731989, 'final': False}"
1,4,-0.14,False,83,Insulin,"{'confidence': -0.14254565, 'final': False}"
1,11,-0.19,False,83,Pancreas,"{'confidence': -0.18721806040788333, 'final': False}"
1,17,-0.34,False,83,Bile,"{'confidence': -0.342655406, 'final': False}"
1,21,-0.03,False,83,Bile,"{'confidence': -0.03080661465, 'final': False}"
1,25,-0.00,True,83,Bile,"{'confidence': -0.0008035301875, 'final': True}"
2,5,-0.00,True,83,Myelin,"{'confidence': -0.00024682690816500003, 'final': True}"
2,10,-0.00,True,83,Myelin,"{'confidence': -0.0016275366, 'final': True}"
2,13,-0.00,True,83,Myelin,"{'confidence': -9.6806325e-08, 'final': True}"
3,5,-0.00,True,83,Myelin,"{'confidence': -9.6806325e-08, 'final': True}"
3,9,0.00,True,83,Myelin,"{'confidence': 0.0, 'final': True}"
3,11,0.00,True,83,Myelin,"{'confidence': 0.0, 'final': True}"
4,6,-0.00,True,83,Myelin,"{'confidence': -2.5321449e-07, 'final': True}"
4,11,0.00,True,83,Myelin,"{'confidence': 0.0, 'final': True}"
4,13,0.00,True,83,Myelin,"{'confidence': 0.0, 'final': True}"
4,13,0.00,True,83,Myelin,"{'confidence': 0.0, 'final': True}"
0,6,-0.00,False,84,Kidney,"{'confidence': -0.000136786337, 'final': False}"
0,13,-0.09,False,84,Kidney,"{'confidence': -0.09056594977650001, 'final': False}"
0,16,-0.00,True,84,Liver,"{'confidence': -0.0006114059, 'final': True}"
1,7,-0.01,False,84,Colon (anatomy),"{'confidence': -0.0050284205619299995, 'final': False}"
1,14,-0.00,True,84,Colon (anatomy),"{'confidence': -0.00153843730946, 'final': True}"
1,19,-0.01,False,84,Colon (anatomy),"{'confidence': -0.00514373758046, 'final': False}"
1,21,-0.00,True,84,Colon (anatomy),"{'confidence': -0.0010101083858600002, 'final': True}"
2,5,-0.00,True,84,Colon (anatomy),"{'confidence': -0.0008111975062699998, 'final': True}"
2,9,-0.00,True,84,Colon (anatomy),"{'confidence': -0.00016003619691799998, 'final': True}"
2,10,-0.00,True,84,Colon (anatomy),"{'confidence': -0.0004599575311, 'final': True}"
3,6,-0.00,True,84,Colon (anatomy),"{'confidence': -0.00015657929617, 'final': True}"
3,10,-0.00,True,84,Colon (anatomy),"{'confidence': -3.3949887554e-05, 'final': True}"
3,16,-0.00,True,84,Colon (anatomy),"{'confidence': -0.000121732001536, 'final': True}"
4,7,-0.00,True,84,Colon (anatomy),"{'confidence': -0.0008187758611859998, 'final': True}"
