id,answer,sent,text
56,Maurice Ravel,0,"The first movement of a piano concerto by this composer includes both a rapid piccolo and trumpet solo on the notes ""G, high D, D, E."" A piano concerto by this composer opens with double bass arpeggios followed by a contrabassoon solo."
56,Maurice Ravel,1,"A G major piano concerto by this composer, whose second movement was inspired by Mozart's Clarinet Concerto, opens with a whip crack and alludes to his Basque heritage."
56,Maurice Ravel,2,World War I veteran Paul Wittgenstein commissioned this French composer's Piano Concerto for the Left Hand.
56,Maurice Ravel,3,"For 10 points, name this composer who arranged a piano version of his piece Boléro."
57,Republic of Armenia,0,"An ""Andante maestoso"" movement is the first of seven in an A-flat major trumpet concerto by a composer from this country."
57,Republic of Armenia,1,Whale sounds feature in the piece And God Created the Whales by a composer with heritage from this country who wrote 67 symphonies.
57,Republic of Armenia,2,Trombones play a glissando from F down to D in a piece by a composer from this country in which the xylophone plays striking F-sharp eighth notes.
57,Republic of Armenia,3,This country is home to a composer who depicted weddings on a collective farm in the ballet Gayane.
57,Republic of Armenia,4,"For 10 points, name this home country of the composer of the ""Sabre Dance,"" Aram Khachaturian."
58,Niccolò Paganini,0,David Oistrakh performed a fantasy by this composer named for Moses that pulled from Gioachino Rossini's opera Mosè in Egitto.
58,Niccolò Paganini,1,"This composer wrote the theme ""A, [pause], A, A, C, B, A, high E"" that inspired a set of Grandes études."
58,Niccolò Paganini,2,"This composer's movement ""Rondo à la clochette,"" which includes strikes of a bell before the theme, inspired the melody of Franz Liszt's ""La Campanella."""
58,Niccolò Paganini,3,"A ""Rhapsody on a Theme"" of this composer was written by Sergei Rachmaninoff."
58,Niccolò Paganini,4,"For 10 points, name this composer who pioneered difficult violin techniques, such as in his 24 Caprices."
59,motets,0,"Over 100 ""double"" versions of pieces in this genre, including nine macaronic ones, are collected in the Bamburg Codex."
59,motets,1,"The Roman de Fauvel contains five pieces in this genre, such as the ""Aman novi,"" by the composer Philippe de Vitry."
59,motets,2,"For the consecration of the Florence Cathedral, the Franco-Flemish composer Guillaume Du Fay wrote a piece in this genre called Nuper rosarum flores."
59,motets,3,"Isorhythms were incorporated into this genre, in which a discant is sung above a cantus firmus."
59,motets,4,"For 10 points, name these sacred polyphonic vocal pieces, typically contrasted with the secular madrigal."
60,passions,0,"A piece in this genre, which includes an Alla breve section for no voices, incorporates 24 violin parts that play the ""B-A-C-H"" motif."
60,passions,1,"That work in this genre, which includes an atonal Stabat Mater, is by Krzysztof Penderecki."
60,passions,2,"Pieces in this genre, such as one featuring the aria ""Have mercy,"" call for the role of the Evangelist."
60,passions,3,"Picander wrote the libretto to a piece in this genre in which recitatives are surrounded by strings in a ""halo"" effect."
60,passions,4,"In 1829, Felix Mendelssohn conducted a piece in this genre based on the first book of the New Testament."
60,passions,5,"For 10 points, name this genre of J.S."
60,passions,6,Bach's piece named for St. Matthew.
61,Water Music,0,"A Vivace section of this collection in 3/2 time pulls from the aria ""Sento la Gioia"" from Amadigi di Gaula."
61,Water Music,1,"Six years after this collection was published, another Baroque composer published a collection of the same name that evokes ""The pleasant Zephir."""
61,Water Music,2,Samuel Arnold produced an edition of this piece featuring 19 movements.
61,Water Music,3,"This collection's first and second suites evoke a maritime dance with its tempo marking ""alla hornpipe."""
61,Water Music,4,"This collection, which includes two ""Bourrées,"" includes suites in F, D, and G major."
61,Water Music,5,"For 10 points, what collection by George Frideric Handel is named for being performed along the Thames?"
62,György Ligeti,0,"In one piece, this composer divided 12 strings into two groups, one tuned a quarter tone higher."
62,György Ligeti,1,The barrel organ is used as an alternative to the harpsichord in a piece by this composer that evokes the title Continuum.
62,György Ligeti,2,This composer drew from Frescobaldi for the Ricercar of a collection of six bagatelles for wind quintet.
62,György Ligeti,3,"This composer called for a tone cluster spanning five octaves to open a piece employing his style of ""micropolyphony."""
62,György Ligeti,4,A piece by this composer accompanies scenes from 2001: A Space Odyssey.
62,György Ligeti,5,"For 10 points, name this Hungarian composer of Atmosphères and Lux Aeterna."
63,Beethoven Symphony No. 3,0,"In a movement of this piece, violins play triplet arpeggios as an oboe plays the notes ""C, E, G."" The theme of this piece's fourth movement draws from the seventh of 12 contredanses for orchestra."
63,Beethoven Symphony No. 3,1,"In this piece's first movement recapitulation, a solo horn plays over a dominant chord to reintroduce a theme four bars before other instruments."
63,Beethoven Symphony No. 3,2,"A theme from The Creatures of Prometheus closes this symphony, which includes a second-movement C-minor funeral march."
63,Beethoven Symphony No. 3,3,"This symphony in E-flat major was rededicated to a ""Great Man."""
63,Beethoven Symphony No. 3,4,"For 10 points, name this Beethoven symphony originally dedicated to Napoleon."
64,trumpet,0,"Two flutes, strings, and continuo accompany a two-movement concerto for this instrument by Michael Haydn."
64,trumpet,1,"This instrument plays the notes ""long B-flat, high E-flat, down to C"" to open the third movement of a concerto."
64,trumpet,2,"A concerto for this instrument marking its composer's entrance into the court of Nikolaus II was written by Johann Nepomuk Hummel, who wrote it shortly after Joseph Haydn's E-flat major concerto for its keyed variety."
64,trumpet,3,"Mozart's lost concerto for this instrument would be his only one, other than four horn concertos, for a brass instrument."
64,trumpet,4,"For 10 points, name this three-valved brass instrument."
65,Schumann,0,"A pianist with this surname dated a singer nicknamed ""Fillu"" and wrote a biography of her father detailing his permanent finger injury."
65,Schumann,1,"A composer with this surname wrote a G minor piano trio and an A minor piano concerto that opens with an ""Allegro maestoso."""
65,Schumann,2,That composer with this first name performed the Three Romances for Piano and Violin with Joseph Joachim.
65,Schumann,3,A composer with this surname incorporated his alter egos Florestan and Eusebius into a piano work set on the title Carnaval.
65,Schumann,4,"For 10 points, give this shared surname of Clara and her husband, who wrote the Rhenish Symphony."
66,Alexander,0,A composer with this first name pulled from Hans Christian Andersen for a fantasy about a mermaid and set Rabindranath Tagore poems in a symphony inspiring Alban Berg's Lyric Suite.
66,Alexander,1,A composer with this first name arranged Chopin pieces into a suite used in Michel Fokine's Les Sylphides.
