id,answer,sent,text
8,William Jennings Bryan,0,"In one speech, this politician ominously discussed Pontius Pilate and stated, ""It is again a choice between God and Baal."""
8,William Jennings Bryan,1,"This politician stated, ""I am more interested in religion than in government"" in a speech that evokes the title prince."
8,William Jennings Bryan,2,"A speech by this politician uses a Roman analogy in discussing how Andrew Jackson ""destroyed the bank conspiracy and saved America."""
8,William Jennings Bryan,3,"That speech by this politician states, ""You shall not press down upon the brow of labor this crown of thorns."""
8,William Jennings Bryan,4,"For 10 points, name this politician who supported bimetallism in his ""Cross of Gold"" speech."
9,Lake Champlain,0,"The world's second-ever commercial steamboat had a port-of-call on this body of water, home to a mistakenly built fort nicknamed ""Blunder."""
9,Lake Champlain,1,"A[a] battle fought on this large body of water, which included the destruction of a fort partly named for a crown, was a victory for Guy Carleton."
9,Lake Champlain,2,"Near this body of water, Thomas Macdonough and Alexander Macomb defeated George Downie at the Battle of Plattsburgh."
9,Lake Champlain,3,"The Battle of Valcour Island was fought on this body of water, whose western side was defended by Fort Ticonderoga."
9,Lake Champlain,4,"For 10 points, name this lake between New York and Vermont."
10,Apache,0,A warrior of this tribe fought with her brother in Victorio's War and helped Nana lead a raid.
10,Apache,1,"Mickey Free was kidnapped by this tribe, leading several members to be hanged by George Bascom."
10,Apache,2,A leader of this tribe named Mangas Coloradas was the father-in-law of a chief who fought Confederate soldiers named Cochise.
10,Apache,3,"After efforts by George Crook, Nelson Miles forced the surrender of a leader of this tribe's Chiricahua branch at Skeleton Canyon."
10,Apache,4,"For 10 points, name this Native American tribe of the American Southwest whose leaders included Geronimo."
11,Ida,0,An activist with this first name interviewed people in Tunica shortly before a mob destroyed the Free Speech.
11,Ida,1,The murders of the owners of the People's Grocery were investigated by that activist with this first name who edited the Memphis Free Speech.
11,Ida,2,"The Hepburn Act was passed shortly after the publishing of works by an activist with this first name in McClure's, which centered on a company that violated the Sherman Antitrust Act."
11,Ida,3,That activist with this first name investigated John D. Rockefeller in The History of the Standard Oil Company.
11,Ida,4,"For 10 points, give this first name of activists surnamed Wells and Tarbell."
12,Japanese-American,0,"In a case against Thomas Fisher, an immigrant of this ethnicity was found to violate the Immigration Act of 1891."
12,Japanese-American,1,Karl Bendetsen tried to downplay his involvement in a policy concerning people of this ethnicity.
12,Japanese-American,2,Two people of this ethnicity assisted a fighter pilot in the Niihau Incident.
12,Japanese-American,3,"The 1907 Gentleman's Agreement prevented people of this ethnicity, many of whom made up the 442nd Infantry Regiment, from immigrating west."
12,Japanese-American,4,People of this ethnicity were forced to live at sites such as Tule Lake and Manzanar.
12,Japanese-American,5,"Executive Order 9066 targeted, for 10 points, what Asian ethnic group interned during World War II?"
13,New York,0,The Bucktails were a Democratic-Republican faction in this state that included the later governor John King.
13,New York,1,"In the 1840s, this state was the site of anti-slavery feuds between the Barnburners and Hunkers."
13,New York,2,A governor of this state dealt with the unrest of tenant farmers against landholders of the van Rensselaer family.
13,New York,3,"An infrastructure project in this state was promoted by Daniel Tompkins, though it would later be considered DeWitt Clinton's ""folly."""
13,New York,4,"William Seward was governor of this state, where DeWitt Clinton helped develop the Erie Canal."
13,New York,5,"For 10 points, name this state, the site of the Albany Regency."
14,Thurgood Marshall,0,"This man defended four young men from Lake County, Florida, who were accused of raping a woman."
14,Thurgood Marshall,1,This man represented a dentist in a voting rights case against S. S. Alwright.
14,Thurgood Marshall,2,Robert Lee Carter and this man presented the case of Heman Sweatt in a case concerning the racial separation of law schools.
