id,answer,sent,text
195,flatness,0,Any spherically symmetric solution to the vacuum field equations must be static and have this property asymptotically.
195,flatness,1,"One quantity must be equal to ""3 H-squared over 8 pi G"" for a certain object to have this property."
195,flatness,2,"Cosmic inflation may solve a ""problem"" named for this property that asks why conditions in the past seem to have been fine-tuned."
195,flatness,3,"Evidence from WMAP indicates that the energy density is within 0.5 percent of a critical value needed for a universe with this shape, which would contrast with a spherical or hyperbolic universe."
195,flatness,4,"For 10 points, name this property that means the universe has zero curvature."
128,trumpet,0,"A player of this instrument orchestrated an album starring singers Miles Griffith and Cassandra Wilson, which ends in the song ""Due North."""
128,trumpet,1,A player used one of these instruments that allegedly gained its bent look when a comedy duo fell on it.
128,trumpet,2,A player of this instrument was the first to win both a jazz and classical Grammy; that composer of Blood on the Fields is Wynton Marsalis.
128,trumpet,3,"One player of this instrument puffed his cheeks while playing it on songs like ""Salt Peanuts"" and ""A Night in Tunisia,"" while another was nicknamed ""Satchmo."""
128,trumpet,4,"For 10 points, name this instrument played by Dizzy Gillespie and Louis Armstrong."
94,Aboriginal Australians,0,"One leader in this ethnic group headed the ""tame mob""; that leader was Mosquito."
94,Aboriginal Australians,1,Members of this ethnic group lost the Battle of Richmond Hill during wars involving Tedbury that finally ended in 1816.
94,Aboriginal Australians,2,"This ethnic group was suppressed by a man who was the victim in the Bounty mutiny, William Bligh."
94,Aboriginal Australians,3,This ethnic group included trackers who could locate missing children and find outlaws.
94,Aboriginal Australians,4,"This ethnic group, which was targeted at Myall Creek in the Frontier Wars, had children taken by the government as part of the Stolen Generations."
94,Aboriginal Australians,5,"For 10 points, Uluru is sacred to what ethnic group, native to Australia?"
39,Sanskrit,0,"An encyclopedic treatise in this language details eleven components of drama, beginning with an aesthetic idea that translates as ""juice"" or ""essence."""
39,Sanskrit,1,"In a play in this language, a woman is cursed to die as soon as her husband sees their child, but the curse is removed after she turns into a vine in a forest where women are forbidden."
39,Sanskrit,2,A play in this language opens with the director asking an actress to sing about summer.
39,Sanskrit,3,"In that play in this language, a ring dropped in a river is retrieved from a fish's stomach after a king is cursed to forget his beloved."
39,Sanskrit,4,"For 10 points, The Recognition of Shakuntala is in what language used by Kalidāsa?"
161,W. E. B. Du Bois,0,"In one book, this thinker tracked migration patterns to various wards of Brooklyn."
161,W. E. B. Du Bois,1,"Surveys tracking place of birth, occupation, age, and health were distributed by this thinker in a statistical study of the Seventh Ward presenting ""a plexus of social problems."""
161,W. E. B. Du Bois,2,"Sheet music accompanies a sociological collection by this thinker, which introduces a concept that manifests in paired, warring thoughts or ideals."
161,W. E. B. Du Bois,3,"This thinker asked, ""How does it feel to be a problem?"""
161,W. E. B. Du Bois,4,"in a collection that introduces ""double consciousness."""
161,W. E. B. Du Bois,5,"For 10 points, name this sociologist who wrote The Souls of Black Folk."
76,coffee,0,An aviator whose No.
76,coffee,1,"6 airship may have preceded the Wright brothers was the son of a tycoon in this industry, owning the world's largest center of production for it."
76,coffee,2,The government worked to stabilize the exchange rate and set minimum prices for this industry in a pact signed in Taubaté.
76,coffee,3,The start of the Great Depression and an institute's attempt to raise prices caused a crisis due to a glut in this industry in Paraíba.
76,coffee,4,An 1880s to 1930s period in South American history was named for dairy and this crop.
76,coffee,5,"For 10 points, name this crop that was produced in Brazilian plantations to create a roasted beverage."
134,St. Nicholas,0,A monastery named for this figure supposedly gained its current population of cats when St. Helena had hundreds of them shipped over to end a snake infestation.
134,St. Nicholas,1,Stories about this figure include a tale of dropping gold through a window to pay for the marriages of a trio of girls and saving children left in a salting bin.
134,St. Nicholas,2,"While imprisoned for attacking a heretic at a meeting, in one story, this figure's chains fall off."
134,St. Nicholas,3,"Since this saint gave money that landed in shoes or socks, he was syncretized with figures such as ​​Joulupukki and Sinterklaas."
134,St. Nicholas,4,"For 10 points, name this saint who inspired the figure said to deliver Christmas gifts."
2,Thanatopsis,0,"Thomas Holley Chivers noted that this poem ""stole line by line from the Spanish,"" despite the line, ""Where rolls the Oregon, and hears no sound."""
2,Thanatopsis,1,"In this poem, ""breathless darkness"" makes ""thee to shudder, and grow sick at heart."""
2,Thanatopsis,2,"This poem commands the reader to ""lose thyself in the continuous woods"" and ""pierce the Barcan wilderness."""
2,Thanatopsis,3,"A man ""holds Communion with her visible forms"" in this poem, which notes how one should ""approach thy grave like one who…lies down to pleasant dreams."""
2,Thanatopsis,4,"For 10 points, name this meditation on death, a poem by William Cullen Bryant."
